BREDHURST-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ796622,Long,0.57660007,Lat,51.330532,Elevation,450,ft,,,,,,,,,,,,
Station no,RR8305,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.15,0.87,2.5,1.43,3.03,3.48,,,,,,
February,,,,,,,,,1.02,1,3.4,1.34,1.73,0.75,,,,,,
March,,,,,,,,,2.23,3.63,1.83,2.52,3.69,2.05,,,,,,
April,,,,,,,,,2.72,1.65,1.97,2,0.08,,,,,,,
May,,,,,,,,,2.15,1.39,3,0.94,1.24,,,,,,,
June,,,,,,,,,2.07,2.94,2.57,2.43,3.9,,,,,,,
July,,,,,,,,,3.1,3.82,3.25,0.41,1.39,,,,,,,
August,,,,,,,,,3.7,2.45,2.23,0.94,5.39,,,,,,,
September,,,,,,,,,1.15,3.51,0.95,1.47,3.15,,,,,,,
October,,,,,,,,,1.78,5.73,2.13,5.9,3,,,,,,,
November,,,,,,,,1.76,1.19,1.22,4.23,5.18,2.21,,,,,,,
December,,,,,,,,2.42,2.22,3.51,3.71,5.34,2.7,,,,,,,
Total,,,,,,,,,24.48,31.72,31.77,29.9,31.51,,,,,,,
