"TRING (NEW GROUND P.S.)",,,,,,,,,,,,
Grid ref,SP950107,Long,-0.624122,Lat,51.786903,,,,,,,
Station no,932/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,1.86,1.17,1.07,2.44,4.25,1.50,2.81,3.58,2.97,,
February,4.91,0.60,2.24,2.44,1.88,0.45,3.18,2.81,0.04,2.66,,
March,3.63,2.45,0.66,2.55,1.25,0.93,1.26,1.50,2.75,1.36,,
April,3.07,1.91,2.43,0.44,0.57,1.00,0.22,0.94,2.28,0.73,,
May,2.65,2.17,1.72,3.72,4.84,0.40,1.29,2.23,0.92,1.96,,
June,1.75,0.88,2.22,3.43,2.30,2.33,1.73,4.44,1.77,2.27,,
July,1.46,0.41,3.41,2.53,0.65,3.63,2.13,2.42,3.36,3.50,,
August,4.06,4.73,2.16,3.31,0.45,5.28,3.32,3.59,2.40,3.37,,
September,2.87,3.45,2.31,1.88,2.00,2.44,3.13,4.31,0.48,3.30,,
October,1.15,3.17,2.32,2.08,2.68,1.84,2.74,3.31,2.40,6.48,,
November,5.41,3.92,1.26,5.43,1.56,0.81,2.24,2.88,2.53,4.95,,
December,2.07,3.32,0.67,2.64,2.96,4.11,2.46,3.09,4.82,3.69,,
Total,36.14,28.87,22.57,31.52,23.58,27.47,25.20,34.33,27.33,37.24,,
Calc annual,36.14,28.87,22.57,31.52,23.58,27.47,25.20,34.33,27.33,37.24,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
