CORFE CASTLE (MORTONS HOUSE),,,,,,,,,,,,
Grid ref,SY962800,Long,-2.055076,Lat,50.619694,,,,,,,
Station no,1560/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,2.36,,,,,,,,,,
February,7.07,0.98,,,,,,,,,,
March,4.95,3.34,,,,,,,,,,
April,2.96,2.06,,,,,,,,,,
May,3.10,2.54,,,,,,,,,,
June,0.72,1.38,,,,,,,,,,
July,1.37,0.76,,,,,,,,,,
August,5.01,3.53,,,,,,,,,,
September,3.78,5.64,,,,,,,,,,
October,1.52,4.99,,,,,,,,,,
November,8.94,4.39,,,,,,,,,,
December,4.00,3.37,,,,,,,,,,
Total,47.73,35.34,,,,,,,,,,
Calc annual,47.73,35.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
