CORFE-CASTLE-MORTONS-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY962820,Long,-2.05495,Lat,50.63768,Elevation,100,ft,,,,,,,,,,,,
Station no,1560/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.47,3.46,6.78,1.11,0.99,4.31,2.36,,,,,,,,
February,,,,,,3.37,2.17,1.74,1.39,5.85,7.07,0.98,,,,,,,,
March,,,,,,1.39,8.04,1.06,1.16,1.61,4.95,3.34,,,,,,,,
April,,,,,,2.7,2.14,1.61,1.91,3.04,2.96,2.06,,,,,,,,
May,,,,,,3.47,1.75,2.14,2.4,1.58,3.1,2.54,,,,,,,,
June,,,,,,3.25,1.91,2.54,0.6,1.28,0.72,1.38,,,,,,,,
July,,,,,,1.47,1.54,1.59,0.39,6.25,1.37,0.76,,,,,,,,
August,,,,,,4.34,1.63,3.49,0.94,2.74,5.01,3.53,,,,,,,,
September,,,,,,4.34,1.52,2.64,6.64,4.47,3.78,5.64,,,,,,,,
October,,,,,,1.5,1.36,2.5,7.58,1.47,1.52,4.99,,,,,,,,
November,,,,,,6,2.53,2.34,3.72,6.31,8.94,4.39,,,,,,,,
December,,,,,,3.84,3.7,4.74,2.27,2.26,4,3.37,,,,,,,,
Total,,,,,,40.14,31.75,33.17,30.11,37.85,47.73,35.34,,,,,,,,
