HARDROW VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD869912,Long,-2.203,Lat,54.316,Elevation,790,ft,,,,,,,,,,,,,
Station no,RR3130,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894
January,,9.59,2.82,10.19,6.95,1.53,0.69,0.75,4.52,7.68,9.92,3.65,7.08,3.60,3.50,2.83,7.21,3.19,3.41,3.07,6.96
February,,1.28,7.88,5.16,2.94,4.02,6.35,5.99,4.39,5.11,2.97,5.60,1.11,2.28,1.19,2.06,1.00,0.09,3.11,9.17,8.01
March,,1.63,7.12,3.46,3.35,3.65,2.49,6.45,5.01,2.88,3.34,3.36,5.44,2.45,5.21,2.82,3.43,2.12,1.06,1.22,3.80
April,,1.96,2.69,3.34,2.24,1.96,3.35,2.12,4.47,3.09,1.93,2.59,4.52,2.11,2.18,3.39,2.15,2.45,2.08,0.56,2.42
May,,2.97,0.80,3.72,6.30,1.61,2.22,3.60,2.26,1.80,2.68,3.16,4.97,2.18,2.15,2.66,2.88,3.00,4.25,2.49,2.53
June,,3.90,3.30,4.41,3.69,7.13,3.62,4.49,5.63,4.43,0.75,2.81,1.98,0.18,2.49,0.51,3.40,1.56,4.18,2.26,2.36
July,,3.43,2.81,4.24,1.64,6.54,8.08,6.11,10.24,4.01,6.34,1.50,5.67,2.50,8.76,2.38,2.23,4.64,2.63,3.73,3.02
August,,4.28,3.49,8.23,6.23,5.10,2.07,7.01,3.17,2.78,1.43,2.20,2.03,2.91,4.20,6.87,6.96,9.12,6.48,4.35,4.18
September,,4.65,5.34,4.17,5.92,3.22,4.49,2.78,2.66,4.82,2.58,5.29,4.43,4.59,0.74,1.15,1.86,4.24,3.56,4.08,0.72
October,10.01,5.11,2.79,9.82,5.50,2.24,4.38,5.26,4.38,6.12,2.85,5.16,6.64,2.31,3.06,7.70,2.12,3.74,10.03,5.90,5.76
November,4.36,7.40,3.60,11.42,5.40,2.35,8.85,7.88,8.52,4.62,2.06,3.06,5.19,3.38,9.57,1.41,5.55,4.76,2.63,3.03,4.45
December,6.33,5.38,9.87,6.00,3.58,4.39,7.29,5.54,6.32,4.07,8.25,2.12,6.08,4.61,3.68,2.30,0.98,8.41,2.80,6.76,4.03
Total,,51.58,52.51,74.16,53.74,43.74,53.88,57.98,61.57,51.41,45.10,40.50,55.14,33.10,46.73,36.08,39.77,47.32,46.22,46.62,48.24
,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/036,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/020,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/169,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# Hardrow is spelt Hardraw on modern maps.,,,,,,,,,,,,,,,,,,,,,
