"HAYES HAYES PLACE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4516,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.44,1.36,3.23,4.09,0.64,4.23,1.17,1.31,3.24,3.37,,
February,4.03,1.24,2.13,0.87,3.84,5.08,4.74,1.00,0.92,2.68,,
March,1.63,2.11,3.92,2.78,4.76,0.49,4.63,1.43,1.04,3.63,,
April,1.87,2.17,0.06,2.80,1.01,1.94,1.51,2.17,3.70,3.34,,
May,2.34,1.26,1.27,0.86,1.37,3.11,3.03,1.99,2.69,0.06,,
June,2.48,2.09,3.17,0.42,0.99,0.56,3.14,1.45,1.08,1.19,,
July,2.59,0.50,1.35,1.47,1.62,3.13,1.27,4.59,5.35,2.17,,
August,2.44,1.81,5.18,2.01,1.51,2.68,3.39,4.87,1.14,2.65,,
September,1.04,1.19,3.22,1.46,0.57,2.08,1.12,1.41,4.81,1.34,,
October,3.03,3.62,2.68,4.15,1.75,2.10,3.94,3.35,1.97,0.96,,
November,3.57,4.43,2.38,2.90,3.84,3.02,5.43,1.51,2.44,1.84,,
December,4.07,6.38,3.18,1.18,7.88,6.25,3.29,1.98,2.34,4.15,,
Total,31.53,28.16,31.77,24.99,29.78,34.67,36.66,27.06,30.73,27.38,,
Calc annual,31.53,28.16,31.77,24.99,29.78,34.67,36.66,27.06,30.72,27.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.01,0.00,,
