CARSPHAIRN GLENNOCH,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS603001,Long,-4.2006309,Lat,55.275176,Elevation,1330,ft,,,,,,,,,,,,,
Station no,5020/6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,14.92,9.15,14.62,6.58,10.9,,,,,,
February,,,,,,,,,,,0.65,10.07,0.14,3.97,0.9,,,,,,
March,,,,,,,,,,,2.88,2.33,4.62,3.78,3.1,,,,,,
April,,,,,,,,,,,6.11,4.62,6.89,2.66,4.69,,,,,,
May,,,,,,,,,,,3.71,5.93,4.8,3.94,5.29,,,,,,
June,,,,,,,,,,,4.07,11.06,2.67,3.69,2.27,,,,,,
July,,,,,,,,,,,6.3,7.33,9.24,7.69,1.54,,,,,,
August,,,,,,,,,,,12.35,3.36,2.37,4.24,12.84,,,,,,
September,,,,,,,,,,1.84,5.48,2.23,8.57,1.95,9.71,,,,,,
October,,,,,,,,,,9.31,15.62,5.51,9.58,4.39,,,,,,,
November,,,,,,,,,,13.3,7.38,21.58,5.18,3.13,,,,,,,
December,,,,,,,,,,18.43,11.98,7.89,13.26,2.41,,,,,,,
Total,,,,,,,,,,,91.45,91.06,81.94,48.43,,,,,,,
