STANCLIFFE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK267639,Long,-1.6020295,Lat,53.171547,Elevation,530,ft.,,,,,,,,,,,,
Station no,RR1948,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,1.47,,,,,,,,
February,,,,,,,,,,,,1.53,,,,,,,,
March,,,,,,,,3.86,,,,1.13,,,,,,,,
April,,,,,,,,4.4,,,,2.69,,,,,,,,
May,,,,,,,1.6,3,,,,1.73,,,,,,,,
June,,,,,,,3.71,2.5,,,,3.82,,,,,,,,
July,,,,,,,2.06,3.27,,,,3.36,,,,,,,,
August,,,,,,,3.63,3.91,,,,,,,,,,,,
September,,,,,,,6.07,3.09,,,,,,,,,,,,
October,,,,,,,3.5,3.41,,,,,,,,,,,,
November,,,,,,,4,2.3,,,,,,,,,,,,
December,,,,,,,3.15,2,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Stancliffe Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
