"DUNTOCHER LOCH COCHNO",,,,,,,,,,,,
Grid ref,NS489765,Long,-4.421854,Lat,55.957681,,,,,,,
Station no,5339,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.06,4.12,5.86,5.26,,
February,,,,,,,3.39,4.04,4.35,3.17,,
March,,,,,,,4.24,5.50,5.78,2.11,,
April,,,,,,,2.11,2.69,1.99,4.80,,
May,,,,,,,7.15,6.05,3.58,4.14,,
June,,,,,,,2.16,5.37,3.25,3.44,,
July,,,,,,,4.11,2.39,4.27,5.88,,
August,,,,,,,5.72,6.89,4.84,4.82,,
September,,,,,,,3.00,2.30,8.64,3.15,,
October,,,,,,,7.70,6.17,2.20,7.35,,
November,,,,,,,5.53,4.17,4.19,3.84,,
December,,,,,,,6.15,6.91,5.07,5.82,,
Total,,,,,,,56.32,56.60,54.02,53.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,56.32,56.60,54.02,53.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
