KILPATRICK HILLS (LOCH COCHNO),,,,,,,,,,
Grid ref,NS488763,Long,-4.423342,Lat,55.955854,Elevation,915,ft,,
Station no,5339/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.37,7.47,5.16,2.11,4.73
February,,,,,,1.97,4.82,3.3,2.64,4.85
March,,,,,,3.71,6.99,2.26,3.05,2.66
April,,,,,,1.15,2.53,2.2,3.65,4.76
May,,,,,,3.21,3.13,4.29,1.38,3.24
June,,,,,,3.2,2.98,3.84,3.62,3.52
July,,,,,,6.62,5.67,6.3,7.58,6.12
August,,,,,,5.86,7.16,5.51,1.35,4.11
September,,,,,,6.86,4.12,4.44,2.03,3.75
October,,,,,,4.07,7,5.91,5.47,3.64
November,,,,,,2.44,2.47,2.42,6.6,6.26
December,,,,,,8.23,7.01,5.09,7.08,6.35
Total,,,,,,51.69,61.35,50.72,46.56,53.99
