BEDFORD-THE-GROVE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL054500,Long,-0.46135484,Lat,52.138253,Elevation,108,ft,,,,,,,,,,,,
Station no,RR7357,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.69,1.07,2.02,1.41,0.58,1.64,1.73,2.42,0.82,2.66,0.73,2.17
February,,,,,,,,,1.23,1.71,0.72,0,1.44,2.02,1.54,0.15,0.74,2.67,0.66,1.24
March,,,,,,,,,2.74,1.6,1.88,1.27,0.83,0.12,1.17,1.64,2.12,2.84,1.09,0.82
April,,,,,,,,,1.53,2.7,0.84,1,0.96,0.11,1.15,1.02,0.76,1.8,1.63,1.79
May,,,,,,,,,0.82,4.34,1.64,3.25,1.1,1.23,1.62,0.45,0.56,1.68,2.94,1.83
June,,,,,,,,,3.49,1.26,1.8,1.03,2.37,1.16,2.17,0.53,1.91,1.89,1.72,1.21
July,,,,,,,,,3.83,2.68,2.58,2,1.97,4.26,3.06,4.42,0.96,0.82,1.13,1.27
August,,,,,,,,,2.51,1.39,1.86,3.36,3.29,2.48,2.61,2.17,1.85,2.77,2.21,0.83
September,,,,,,,,,0.9,2.75,0.63,0.71,3.1,0.83,1.22,0.83,4.67,2.51,0.27,1.79
October,,,,,,,,,0.66,2.87,1.48,5.37,3.45,3.14,2.07,2.31,3.41,1.21,2.08,2.78
November,,,,,,,,,2.43,0.9,2.08,2.15,1.38,2.09,4.14,4.54,0.98,0.87,1.55,2.11
December,,,,,,,,,1.08,1.1,0.78,2.93,1.41,1.08,1.42,1.47,2.87,2.07,2.17,1.06
Total,,,,,,,,,21.91,24.37,18.31,24.48,21.88,20.16,23.9,21.95,21.65,23.79,18.18,18.9
