WEST-MONKTON-RUSCOMBE,,,,,,,,,,
Grid ref,ST256285,Long,-3.06281,Lat,51.051008,Elevation,250,ft,,
Station no,2074/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.29,3.35,3.06
February,,,,,,,,3.04,0.3,3.26
March,,,,,,,,0.7,3.68,2.32
April,,,,,,,,0.68,2.7,2.51
May,,,,,,,,2.1,0.72,1.31
June,,,,,,,,2.9,1.89,1.29
July,,,,,,,,2.23,1.26,3.28
August,,,,,,,,2.62,1.31,5.06
September,,,,,,,,4.01,0.29,3.35
October,,,,,,,2.06,1.75,3.38,11.54
November,,,,,,,2.08,2.95,4.57,2.63
December,,,,,,,2.12,3.88,5.84,3.44
Total,,,,,,,,29.15,29.29,43.05
,,,,,,,,,,
1957 Oct Station started,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as West Monkton SRC_ID 9226,,,,,,,,,,
1957-1964,,,,,,,,,,
