NUNEATON STRETTON HOUSE,,,,,,,,,,
Grid ref,SP426913,Long,-1.3736403,Lat,52.517925,Elevation,392,ft,,
Station no,RR7822,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.37,0.82,3.5,1.76,2.09,2.96,1.5,,,
February,1.97,1.22,2.06,1.07,1.89,0.82,2.64,,,
March,1.23,0.67,1.63,2.26,0.74,0.54,2.49,,,
April,0.68,3.57,2.21,0.46,1.24,1.45,2.87,,,
May,0.77,1.41,1.74,2.33,2.62,1.2,0.63,,,
June,0.97,2.8,4.5,2.99,0.58,2.86,2.52,,,
July,1.57,3.49,3.89,2.86,0.66,6.72,1.41,,,
August,2.38,0.47,2.51,3.4,2.67,2.18,2.67,,,
September,1.33,5.12,2.74,1.75,3.2,3.86,5.18,,,
October,4.05,1.42,4.41,2.09,2.74,5.84,1.42,,,
November,1.5,0.99,3.52,1.77,2.13,3.73,3.27,,,
December,2.07,1.15,3.64,0.31,0.94,1.22,4.85,,,
Total,19.89,23.13,36.35,23.05,21.5,33.38,31.45,,,
