"STRETFORD (SEWAGE FARM)",,,,,,,,,,,,
Grid ref,SJ783933,Long,-2.328105,Lat,53.436028,,,,,,,
Station no,2826,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,3.38,1.42,3.46,2.36,4.70,2.26,3.19,3.04,5.00,,
February,1.94,1.18,1.40,3.21,1.78,0.76,2.18,4.75,0.47,2.24,,
March,4.31,2.28,1.80,2.39,2.17,0.96,2.88,1.99,1.52,1.10,,
April,1.87,3.71,2.81,0.82,0.74,3.40,0.49,0.93,3.51,1.61,,
May,2.23,1.93,2.16,2.75,1.73,1.22,1.13,2.80,2.36,2.37,,
June,1.15,2.97,2.33,3.52,2.05,2.13,1.36,5.16,2.54,2.09,,
July,2.83,2.35,3.69,5.00,0.55,4.91,5.67,4.38,3.48,4.99,,
August,3.53,2.73,4.43,5.88,0.83,10.03,4.44,4.46,0.24,6.31,,
September,2.91,3.38,2.78,4.20,1.88,2.65,5.37,3.81,0.22,3.24,,
October,1.14,3.96,2.14,6.04,2.16,3.16,4.11,2.44,3.31,4.43,,
November,7.01,2.54,3.21,5.78,2.14,1.07,1.69,1.30,3.85,4.79,,
December,4.88,3.65,1.41,5.04,3.09,2.77,3.48,3.17,5.11,4.02,,
Total,36.93,34.06,29.58,48.09,21.48,37.76,35.06,38.38,29.65,42.19,,
Calc annual,36.93,34.06,29.58,48.09,21.48,37.76,35.06,38.38,29.65,42.19,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
