"KIRKNEWTON, COLDBURN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NT892240,Long,-2.1725584,Lat,55.509645,Elevation,740,ft,,,,,,,,,,,,,
Station no,3596,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.47,2.14,4.36,2.82,,1.57,4.67,,3.03,4.41,3.04,2.17,5.53,,,,
February,,,,,1.54,10.11,4,1.57,,1.67,3.28,,0.87,5.79,0.27,1.98,4.4,,,,
March,,,,,0.62,4.51,0.98,5.5,,0.84,1.81,,3.34,0.96,8.4,2.18,5.34,,,,
April,,,,,1.63,6.24,2.86,3.54,,1.98,1.04,,2.31,2.08,8.9,3.62,1.33,,,,
May,,,,,5.51,5.07,3.41,2.88,,1.82,1.57,,2.33,2.43,2.97,1.22,1.61,,,,
June,,,,,2.31,0.41,7.26,,,1.61,0.39,,1.47,1.15,3.49,3.51,5.13,,,,
July,,,,,8.38,1.66,4.78,,,2.28,6.36,,3.26,4.15,1.46,1.8,4.65,,,,
August,,,,,4.85,3.68,3.29,,,3.36,5.61,,1.3,2.09,4.6,7.18,2.22,,,,
September,,,,,4.07,5.81,4.79,5.96,,0.3,6.44,,5.51,2.63,1.68,1.21,2.56,,,,
October,,,,,5.91,2.98,4.26,4.97,,1.46,3.04,,6.78,3.96,4,5.7,1.64,,,,
November,,,,,2.57,2.8,6.39,5.94,,4.48,6.1,,1.58,5.45,4.99,5.6,3.97,,,,
December,,,,,7.6,5.61,1.01,,,6.71,5.51,,2.15,2.16,7.37,6.23,2,,,,
Total,,,,,46.46,51.02,47.39,,,28.08,45.82,,33.93,37.26,51.17,42.4,40.38,,,,
,,,,,,,,,,,,,,,,,,,,,
"1924 April gauge moved 1/2mile south from Southernknowe, same elevation",,,,,,,,,,,,,,,,,,,,,
"1927 June, July, Aug, Dec and Totals estimated or adjusted from surrounding stations therefore removed",,,,,,,,,,,,,,,,,,,,,
"1931 gauge completely unreliable and the two readings estimated, removed",,,,,,,,,,,,,,,,,,,,,
