WANDSWORTH-SOUTH-FIELDS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ251741,Long,-0.2010024,Lat,51.452072,Elevation,80,ft,,,,,,,,,,,,
Station no,RR8430,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.65,1.77,2.75,0.87,3.3,3.63,3.3,4,2.75,1.35,,,,,,,,,
February,,1.5,0.35,0.55,0.85,1.88,4.1,1.53,1.2,2.4,1,,,,,,,,,
March,,2.9,3.73,0.75,2.7,0.95,1.57,1.96,1.15,1.45,1.95,,,,,,,,,
April,,1.3,2.9,0.7,1,0.27,1.9,2.35,1.55,1.25,0.4,,,,,,,,,
May,,1.15,3.53,1.4,2,3,2.48,1.6,1.4,2.93,0.5,,,,,,,,,
June,,2.4,2.2,3.6,1.35,2.25,3.5,2.05,0.45,1.3,1.75,,,,,,,,,
July,,2.1,1.97,0.95,0.55,2.6,1.25,4.85,1.55,0.77,1.95,,,,,,,,,
August,,0.6,3.55,2.1,2.58,4.38,2.75,2.8,2.65,1.8,1.25,,,,,,,,,
September,,1.5,2,3.45,1.57,0.57,3.55,2.3,1.55,3.7,2.9,,,,,,,,,
October,,0.92,3.78,1.8,1.25,6.13,2.15,1.93,2.5,1.83,2.65,,,,,,,,,
November,,4.83,1.05,1.85,2.65,2.55,1.47,0.6,1.18,2,2.55,,,,,,,,,
December,,1.65,1.65,1.2,0.38,1.35,1.95,1.44,5.25,2.15,2.2,,,,,,,,,
Total,,21.5,28.48,21.1,17.75,29.23,30.3,26.71,24.43,24.33,20.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Spring Lodge, 28 Wimbledon Park Road where a Robert Coleman, the name of the observer, lived in 1871.",,,,,,,,,,,,,,,,,,,,
Altitude from OS map,,,,,,,,,,,,,,,,,,,,
