GILLINGHAM DORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST808265,Long,-2.275211,Lat,51.037534,Elevation,244,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.26,1,6.66,1.11,2.8,3.4,1.08,2.95,3.8,2.5,2.01,,2.2,,3.78,0.76,1.78,1.95,1.04,,5.32,2.8,,0.95,3.52,,1,3.01,3.01,0.37,2.7,-999,1.6,3.97,5.64,3.42,3.88,4.08,1.75,,4.4,,,,,,,3.72,0.71,1.96,1.47,3.12,3.55,3.41,3.89,3,1.31,0.71,3.6,2.21,1.85,2.25,2.96,3.81,1.22,2.08,1.11,4.6,3.91,2.41,1.15,3.23,3.78,0.66,5.93,1.02,1.59,1.4,4.25,1.42,5.48,5.15,1.02,4.25,1.51,1.34,3.98,5.02,4.65,,,,,,,,,,
February,,,0.64,5.36,1.18,2.37,2.52,3.4,2.32,1.76,2.54,2.04,2.88,,3.58,1.9,1.42,1.92,3.55,,2.06,1.3,0.82,1.06,,0.75,1.68,,-999,1.62,2.5,3.26,-999,-999,1.54,2.44,3.94,2.91,1.68,2.99,2.59,,2.31,,,,,,,3.56,4.18,4.48,1.87,5.34,2.62,3.28,0.83,0.52,1.71,2.02,0.74,0.05,2.07,4.07,2.83,0.14,0.42,4.58,2.86,3.09,4.83,1.55,1.43,1.75,4.7,0.71,2.97,1.8,1.53,0.82,4.21,2.63,2.83,1.07,3.88,5.6,5.61,1.16,1.67,2.78,0.96,,,,,,,,,,
March,,,1.74,1.38,0.82,3,4.32,0.74,1.8,2.23,0.11,0.12,2.78,,3.38,0.84,1.13,2.34,2.73,,0.12,3,0.23,1.4,,1.8,1.08,2.51,-999,1.24,1.08,3.16,-999,1,2.65,1.51,2.34,3.91,2.13,1.36,1.59,,2.65,,,,,,,0.4,1.39,2.73,1.32,1.32,2.88,1.39,2.91,2.7,3.73,2.4,1.77,3.84,0.68,0.54,1.84,2.49,3.5,4.32,0.86,0.61,1.52,2.7,2.01,3.96,1.56,4.88,1.66,0.85,3.15,4.65,0.89,2.44,4.96,3.15,5.14,1.12,3.44,3.39,1.11,4.72,2.33,,,,,,,,,,
April,,,2.32,2.14,0.79,1.08,3.72,1.34,1.76,1.25,0.12,1.41,0.12,3.1,0.5,0.91,2.95,2.2,2.82,2.36,2.76,-999,0.8,2.5,,0.32,3.4,2.3,0.7,3.05,2.86,0.72,2,1.12,1.44,0.63,2.32,2.29,2.52,1.17,0.37,3.84,2.34,,,,,,,2.88,1.91,1.32,5.04,1.05,2.49,3.37,2.46,1.24,1.97,3.82,3.33,0.9,0.99,0.16,2.16,2.5,0.72,3.27,2.22,2.69,2.04,2.48,2.07,3.23,1.39,2.4,1.34,4.39,2.25,1.99,2.5,2.41,0.13,3.35,1.48,1.39,1.29,2.05,1.58,2.11,4.97,,,,,,,,,,
May,,,1.21,0.51,-999,1.52,0.12,0.76,1.97,0.6,3.3,2.3,2.14,,0.13,1.26,0.86,2.7,1.47,-999,2.6,-999,1.8,,,1.94,0.8,-999,1.84,1.04,3.4,2.35,4.01,2.22,1.09,1.8,1.53,1.61,2.49,4.27,1.23,0.98,1.55,,,,,,,2.84,1.01,1.56,1.93,1.94,1.5,3.42,3.93,1.96,1.34,1.16,1.83,2.67,0.9,0.95,1.85,0.34,0.08,1.9,4.51,1.91,1.94,1.11,2.21,3.09,3.07,0.38,5.61,1.99,1.73,1.43,1.87,2.09,1.6,2.56,1.62,2.53,2.51,2.3,1.65,0.67,1.66,,,,,,,,,,
June,,,1.46,3.12,-999,1.5,1.69,1.74,3.84,3.04,0.94,-999,2.68,,0.83,1.61,0.63,1.1,3.31,-999,-999,-999,3.38,2.25,,1.78,3,-999,1.07,2.7,5.32,2.5,2.01,4.82,1.3,1.81,2.36,1,0.3,1.1,,2.6,,,,,,,,4.22,2.65,2.76,3.86,2.51,3.72,1.33,0.96,0.93,2.58,1.07,2.91,1.24,1.45,2.12,2.82,1.18,1.77,2.92,1.53,1.22,2.99,0.96,3.42,2.79,0.9,2.88,1.77,2.28,0.38,3.98,5.13,2.22,4.39,0.77,1.2,0.93,2.23,5.25,1.17,0.67,2.44,,,,,,,,,,
July,,,1.52,1.62,4.04,0.42,2.78,2.86,1.08,4.66,2.83,-999,1.87,2.68,1.9,1.7,2.62,-999,3.28,-999,-999,-999,,3.63,-999,5.16,0.75,1.79,2.2,2,,3.75,2.04,,0.76,1.8,1.22,3.6,0.81,0.72,,4.96,2.51,,,,,,,4.2,6.47,2.93,4.06,3.97,3.15,0.22,2.34,0.74,6,3.76,2.91,2.55,1.81,3.2,6.64,3.09,1.14,0.95,0.62,1.21,1.47,1.6,1.51,3.37,2.18,0.47,1.43,1.76,2.03,3.7,2.98,0.06,3.57,0.43,5.55,4.58,1.95,4.22,6.17,2.39,5.94,,,,,,,,,,
August,,,3.96,0.58,3.03,1.32,1.71,2.3,2.08,2,1.58,,1.08,2.82,4.82,2.26,2.64,-999,1.4,-999,-999,2.6,,2.7,-999,1,2.6,1.4,-999,3.35,5.82,0.37,2.36,3.01,0.74,3.63,2.25,2.2,5.1,1.24,1.53,1,1.26,,,,,,,5.25,1.25,5.98,2.59,1.04,1.68,1.42,1.33,1.81,1.79,3.25,2.7,6.19,3.94,2.44,1.66,3.36,2.66,4.17,1.49,2.71,2.65,2.83,3.88,4.74,3.87,4.12,1.59,2.56,2.94,2.55,2.93,0.92,6.71,1.67,3.1,2.83,7.36,5.6,3.18,3.23,2.02,,,,,,,,,,
September,,,0.58,2.08,2.58,4.33,2.08,1.7,4,4.25,2.27,,2.64,0.76,1.41,0.92,,,3.4,3.46,2.78,0.3,,-999,,1.39,2.15,2.06,-999,3.4,2.55,2.23,1.5,,1.99,0.06,6.81,1.83,4.49,4.67,1.45,4.64,2,,,,,,,3.32,3.45,2.06,2.35,4.46,1.79,5.02,3.12,2.41,1.16,1.81,0.94,2.36,2.35,2.66,2.1,0.69,6.8,3.29,2.29,3.03,0.47,2.63,1.22,2.71,2.49,1.53,0.94,0.68,2.78,4.26,0.35,1.24,1.6,3.49,1.81,2.02,3.47,1.99,5.75,2.22,1.36,,,,,,,,,,
October,,,5.12,2.85,0.84,5.5,4.14,2.4,2.88,3.66,1.16,4.56,1.07,3.84,4.3,1.61,2.63,1.24,5.56,-999,-999,2.66,,-999,3.36,6.22,3,4.39,-999,3.7,2.02,1.9,4.08,5.5,1.93,6,1.58,3.36,3,2.36,4.7,2.3,5.23,,,,,,,0.88,6.61,1.84,6.62,3.31,1,4.3,5.06,1.92,1.8,4.67,1.66,8.79,4.53,3.66,3.38,3.29,2.57,1.34,3.84,1.99,2.92,2.16,2.29,6.96,2.45,1.99,5.54,8.29,1.92,6.92,5.24,2.8,4.16,3.46,3.16,6.24,6.1,5.14,1.52,1.68,,,,,,,,,,,
