WHITTINGTON-OLD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK162083,Long,-1.7618603,Lat,52.672168,Elevation,221,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2339/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.9,3.12,3.76,3.06,5.42,,,,,,1.91,2.24,1.93,5.07,1.13,0.59,2.31,3.26,0.8,0.9,2.48,3.79,0.96,2.28,3.23,
February,,,,,1.91,2.15,3.83,0.59,1.24,,,,,,2.15,3.73,1.58,1.03,0.67,4.29,2.16,0.46,1.38,2.46,2.3,0.61,2.18,4.1,0.14,
March,,,,,0.44,1.71,2.21,0.45,1.16,,,,,,0.92,0.63,5.27,1.06,1.46,0.91,3.79,1.9,1.15,2.25,2.97,1.07,2.07,1.53,1.67,
April,,,,,3.06,1.79,2.29,0.17,1.56,,,,,,2.63,1.46,2.07,1.8,2.3,1.86,1.62,2.62,2.09,0.44,1.09,1.33,0.18,0.64,3.02,
May,,,,,0.74,0.72,3.19,1.58,1.42,,,,,,2.65,2.37,2.59,1.84,2.24,1.17,3.49,2.33,2.15,1.73,3.85,0.57,0.85,1.73,0.47,
June,,,,,3.18,4.86,0.51,2.07,1.06,,,,,,1.86,2.62,1.1,2.67,0.25,1.13,1.39,1.68,1.6,3.03,2.59,1.69,1.06,4.84,0.89,
July,,,,,0.34,4.8,2.47,3.01,4.59,,,,,,1.68,1.56,5.36,1.71,3.37,1.77,0.63,1.5,1.97,2.96,0.74,2.77,2.57,5.34,,
August,,,,,1.07,0.83,0.77,3.02,3.56,,,,,,1.7,6,0.58,4.29,1.22,2.71,5.81,1.6,2.01,5.29,0.68,4.41,3.66,2.25,,
September,,,,,3.85,2.61,3.56,3.01,0.6,,,,,,1.26,3.38,1.2,2.24,1.12,3.33,1.87,0.94,2.05,1.46,1.44,2.03,5.58,2.67,,
October,,,,,2.9,1.45,1.96,2.33,3.08,,,,,,4,0.88,0.25,2.3,4.3,0.75,0.7,3.19,2.06,3.53,1.67,1.62,1.4,2.98,,
November,,,,,4.6,2.76,1.78,2.75,4.18,,,,,,0.04,5.42,2.29,1.31,2.92,3.5,5.23,1.6,1.42,5.02,2.33,0.92,2,1.59,,
December,,,,,3.56,1.71,2.74,3.28,1.2,,,,,,2.22,2.25,1.72,3.69,1.64,1.53,2.01,2.77,1.22,2.47,1.63,3.54,1.58,2.88,,
Total,,,,,26.55,28.51,29.07,25.32,29.07,,,,,,23.02,32.54,25.94,29.01,22.62,23.54,31.01,23.85,19.9,31.54,23.77,24.35,24.09,32.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near to Whittington Old Hall. Stated altitude seems to be 10 ft. too high.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
