CRADLEY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO734471,Long,-2.389927,Lat,52.121568,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2260/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.71,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,1.06,0.41,,2.33,0.49,1.55,1.62,,1.25,2.43,3.77,5.58
February,,,1.58,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.8,3.56,,0.57,1.44,1.95,1.51,,2.88,4.43,0.12,2.32
March,,,4,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.72,1.47,,1.91,0.86,3.02,2.18,,3.03,1.26,2.02,2.4
April,,,0.26,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.39,1.74,,2.25,,0.32,1.05,,0,0.66,1.09,1.37
May,,,2.53,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,2.22,1.84,,3.34,2.94,2,5.14,,1.73,2.79,0.62,1.48
June,,,4.81,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,0.35,1.24,,1.71,2.07,3.83,4.53,,1.72,3,0.51,1.77
July,,,3.12,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.1,2.49,,0.66,3.2,2.26,1.17,,3.05,2.68,1.56,2.73
August,,,8.64,,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,1.32,3.41,,5.75,,3.63,1.02,,,1.99,1.17,3.41
September,,,0.2,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,1.64,2.6,,1.56,2.25,1.79,1.04,,,4.7,0.12,5.07
October,,,2.52,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.57,0.85,,3.12,2.09,2.31,1.27,,1.4,3,2.09,8.1
November,,,1.59,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.74,4.47,,3.63,1.65,5.65,2.74,,2.57,2.79,4.06,4.4
December,,,2.48,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,0.53,1.25,,2.04,1.4,1.8,2.32,,2.63,3.12,6,2.87
Total,,,37.44,,,34.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19,20.44,25.33,,28.87,,30.11,25.59,,,32.85,23.13,41.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958 Apr 2.22, Aug 3.67, Dec 1.4 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
