"CRADLEY SCHOOL",,,,,,,,,,,,
Grid ref,SO734471,Long,-2.389927,Lat,52.121568,,,,,,,
Station no,2260/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.33,0.49,1.55,1.62,,1.25,2.43,3.77,5.58,,
February,,0.57,1.44,1.95,1.51,,2.88,4.43,0.12,2.32,,
March,,1.91,0.86,3.02,2.18,,3.03,1.26,2.02,2.40,,
April,,2.25,2.22,0.32,1.05,,0.00,0.66,1.09,1.37,,
May,,3.34,2.94,2.00,5.14,,1.73,2.79,0.62,1.48,,
June,,1.71,2.07,3.83,4.53,,1.72,3.00,0.51,1.77,,
July,,0.66,3.20,2.26,1.17,,3.05,2.68,1.56,2.73,,
August,,5.75,3.67,3.63,1.02,,,1.99,1.17,3.41,,
September,,1.56,2.25,1.79,1.04,,,4.70,0.12,5.07,,
October,,3.12,2.09,2.31,1.27,,1.40,3.00,2.09,8.10,,
November,,3.63,1.65,5.65,2.74,,2.57,2.79,4.06,4.40,,
December,,2.04,1.40,1.80,2.32,,2.63,3.12,6.00,2.87,,
Total,,28.87,24.28,30.11,25.59,,,32.85,23.13,41.50,,
Calc annual,0.00,28.87,24.28,30.11,25.59,0.00,20.26,32.85,23.13,41.50,,
Difference,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,0.00,0.00,0.00,,
