MARTON HALL,,,,,,,,,,,,,,
Grid ref,NZ517162,Long,-1.202,Lat,54.538,Elevation,120,ft,,,,,,
Station no,RR3127,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877
January,0.86,0.92,1.42,3.88,1.68,1.73,1.00,1.07,1.68,0.88,1.19,1.78,0.64,2.51
February,1.89,0.79,1.13,0.43,1.01,1.51,1.29,1.17,2.02,1.55,0.84,0.93,2.21,1.72
March,1.88,1.37,1.09,2.33,1.34,1.64,1.29,0.42,3.04,1.38,1.21,0.40,2.37,2.34
April,1.78,0.95,1.69,1.70,1.60,1.49,0.37,2.40,3.70,1.58,0.57,0.98,2.27,3.09
May,1.88,3.12,0.88,2.47,1.14,2.73,0.84,1.78,2.87,2.57,2.26,1.06,1.35,2.90
June,2.74,0.62,2.01,1.56,0.85,1.34,3.51,1.72,4.67,1.42,1.06,2.01,3.63,1.50
July,0.78,1.26,4.88,2.04,0.95,0.93,0.70,4.72,4.02,2.06,0.91,3.09,3.24,3.44
August,1.05,4.82,3.42,1.69,1.20,1.48,1.92,0.77,2.68,2.21,1.70,2.55,2.54,4.80
September,1.05,0.33,3.16,1.34,3.03,3.04,0.85,5.71,5.12,1.32,2.55,1.20,3.28,3.04
October,4.39,4.63,1.91,0.38,2.41,3.20,3.74,1.90,3.82,2.32,1.46,3.36,1.65,2.39
November,2.21,2.66,2.12,0.43,1.31,1.99,2.47,1.87,3.86,1.61,2.40,6.68,3.31,1.34
December,2.00,0.69,2.15,2.44,3.12,3.07,4.72,1.71,3.16,0.30,3.25,1.56,4.47,1.57
Total,22.51,22.16,25.86,20.69,19.64,24.15,22.70,25.24,40.64,19.20,19.40,25.60,30.96,30.64
,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/194,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/070,,,,,,,,,,,,,,
