NEWARK-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK802558,Long,-0.803832,Lat,53.093393,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2593/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.86,0.52,2.07,1.54,1.47,3.07,2.75,1.88,3.64,1.33,2.26,2.27,3.59,2.12,1.55,1.38,1.74,3.56,0.97,0.85,1.82,1.17,0.66,0.62,1.69,3.41,0.82,2.44,2.34,4.21
February,2.29,0.44,2.03,0.44,2.2,1.64,2.51,0.97,0.47,2.47,2.27,0.82,0.51,2.35,1.62,1.88,1.19,0.88,0.36,3.86,2.94,0.22,1.1,2.17,1.81,0.61,2.53,2.83,0.18,1.97
March,0.24,1.19,2.58,1.76,0.47,0.7,1.53,0.21,1.53,1.48,2.57,1.57,0.48,0.34,0.69,0.69,4.06,0.23,1.14,0.59,3.15,2.17,0.57,1.48,1.97,0.55,1.56,1.21,1.24,1.48
April,2.77,1.77,0.71,1.6,2.23,1.14,2.09,0.04,1.75,1.07,0.74,0.94,0.84,1.93,1.26,1.61,1.72,1.08,1.97,2.11,1.36,1,1.95,0.08,0.87,1.45,0.18,0.35,1.83,0.7
May,2.74,4.62,1.42,0.77,0.41,0.51,3.1,3.07,1.12,0.6,1.48,3.46,2.32,0.69,1.81,1.08,0.86,1.86,1.59,1.56,2.86,1.66,1.9,3.15,2.92,0.48,1.16,1.87,0.67,0.7
June,2.69,0.43,2.97,0.32,1.92,2.85,0.5,1.11,2.03,1.04,0.2,1.34,1.16,1.54,2.25,2.62,2.45,1.95,0.85,0.94,0.8,1.81,2.59,3.07,3.29,3.67,1.89,4.06,0.45,1.01
July,3.6,6.35,1.14,2.6,1.83,6.4,2.76,3.09,2.92,3.4,3.77,1.95,0.94,1.45,1.81,1.31,1.43,0.71,2.9,2.02,0.96,0.29,1.54,1.43,0.24,3.02,2.93,4.49,1.73,3.9
August,3.29,1.5,0.53,1.77,1.87,1.64,0.37,2.8,2.63,0.26,3.28,2.04,1.34,2.69,2.25,3.57,0.27,2.67,1.31,2.1,4.74,1.6,2.13,3.8,0.18,5.51,3.89,3.5,0.45,3.35
September,2.95,1.02,1.64,1.2,4.07,2.86,0.56,2.21,0.65,0.52,0.53,0.72,2.03,3.27,1.31,2.53,0.98,2.47,1.05,2.47,0.96,1.48,0.87,2.04,0.58,1.82,4.07,1.77,0.05,3.35
October,0.43,2.65,3.24,1.13,2.27,1.64,2.24,1.76,2.89,3.25,2.64,1.83,1.59,2.31,2.61,0.93,0.21,1.53,3.94,0.6,1.14,2.23,2.03,2.74,1.05,0.92,0.74,1.07,1.69,4.03
November,1.79,1.42,1.52,1.64,4.12,2.33,0.98,2.04,3.32,3.8,2.02,1.54,1.64,3.3,0.53,4.2,1.03,0.92,2.47,3.52,4.15,1.26,1.32,3.95,0.86,0.64,1.92,0.8,1.76,3.04
December,0.83,0.55,0.33,3.73,2.41,1.49,1.98,2.96,1.28,1.45,0.47,1.04,0.59,0.74,1.49,2.18,1.54,2.52,1.42,1,1.11,1.45,0.7,2.03,1.37,1.31,1.14,2.85,2.66,2.87
Total,25.48,22.46,20.18,18.5,25.27,26.27,21.37,22.14,24.23,20.67,22.23,19.52,17.03,22.73,19.18,23.98,17.48,20.38,19.97,21.62,25.99,16.34,17.36,26.56,16.83,23.39,22.83,27.24,15.05,30.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
