BRUTON-SUNNY-HILL-(VILLAS),,,,,,,,,,,,,,,,,,,,
Grid ref,ST673335,Long,-2.46838,Lat,51.10041,Elevation,280,ft,,,,,,,,,,,,
Station no,RR7657,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.99,0.86,1.75,1.21,3.93,1.23,4.78,5.19,1.22,3.23,1.24,1.24,2.95,
February,,,,,,,2.95,1.83,1.68,0.75,3.62,2.2,2.32,1.15,3.05,5.02,,1.37,1.01,
March,,,,,,,2.04,0.87,3.45,4.02,0.71,2.49,,2.83,,1.16,3.17,3.37,1.01,
April,,,,,,,1.16,4.65,2.58,2.07,2.32,2.01,0.12,2.89,1.21,1.03,1.14,,1.84,
May,,,,,,,3.46,2.1,2.26,1.22,1.81,1.47,1.52,2.93,1.59,2.28,2.69,2.59,1.16,
June,,,,,,,2.76,2.25,0.41,2.71,4.45,2.58,,0.93,1.61,1.26,1.63,,1.35,
July,,,,,,,1.01,1.89,2.17,3.68,3.31,0.03,3.25,0.57,4.81,4.37,,2.41,,
August,,,,,,,1.78,2.49,2.96,2.49,3.94,1.83,6.54,1.76,2.91,2.83,,5.87,,
September,,,,,,,1.12,0.89,2.47,3.4,0.2,1.14,0.88,3.64,1.71,1.53,,1.12,,
October,,,,,,,5.46,6.3,2.13,5.62,4.75,2.99,4.11,2.95,2.71,4.92,,2.39,,
November,,,,,,,3.86,3.5,1.38,0.87,3.73,2.95,1.85,2.92,3.65,1.91,,0.72,,
December,,,,,,,2.28,4.75,2.89,4.13,7.01,8.69,5.35,2.65,6.99,6.48,3.43,0.51,,
Total,,,,,,,33.87,32.38,26.13,32.17,39.78,29.61,,30.41,,36.02,,,,
,,,,,,,,,,,,,,,,,,,,
Sunny Hill Villas,,,,,,,,,,,,,,,,,,,,
1908 Sept 14 Gauge moved 0.25 mile NE to Sexeys School,,,,,,,,,,,,,,,,,,,,
1910 Oct 2 Gauge moved 0.25m SW,,,,,,,,,,,,,,,,,,,,
1912 Mar June Marked as estimated,,,,,,,,,,,,,,,,,,,,
1913 Nov 14 Gauge moved 300yds N,,,,,,,,,,,,,,,,,,,,
1916 Feb Estimated ,,,,,,,,,,,,,,,,,,,,
1917 June 28 9.56in fell,,,,,,,,,,,,,,,,,,,,
1917 Oct 1 Inspection Gauge nearly surrounded by trees On grass to prevent in splashing,,,,,,,,,,,,,,,,,,,,
