"ST. ALBANS (STONE CROSS P.S.)",,,,,,,,,,,,
Grid ref,TL151081,Long,-0.333701,Lat,51.759767,,,,,,,
Station no,924/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.35,1.71,0.97,0.95,2.26,4.07,1.39,2.85,2.97,2.47,,
February,4.82,0.61,1.80,2.10,1.75,0.31,3.22,3.01,0.06,2.34,,
March,3.45,2.52,0.44,2.29,1.17,0.94,1.42,1.70,2.57,1.60,,
April,3.01,2.12,2.55,0.30,0.52,1.10,0.17,1.38,2.50,0.67,,
May,2.18,1.52,1.39,2.49,4.71,0.50,1.26,2.28,0.84,1.73,,
June,1.42,1.12,1.80,3.72,1.72,2.99,1.17,4.87,0.99,1.70,,
July,1.18,0.56,3.18,3.04,0.15,2.22,2.93,1.74,4.03,3.15,,
August,3.47,5.13,1.91,3.13,0.73,5.86,2.29,2.97,1.50,3.06,,
September,2.89,3.42,1.90,1.62,1.93,2.46,3.37,4.19,0.10,3.74,,
October,1.08,3.03,2.82,2.21,3.53,1.65,1.98,3.40,2.04,5.79,,
November,5.27,3.56,1.50,5.06,2.33,0.53,2.22,2.25,2.17,4.01,,
December,1.96,2.88,0.53,1.91,2.24,4.22,2.24,3.58,4.50,3.41,,
Total,34.08,28.18,20.79,28.82,23.04,26.85,23.66,34.22,24.27,33.67,,
Calc annual,34.08,28.18,20.79,28.82,23.04,26.85,23.66,34.22,24.27,33.67,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
