ST-ALBANS-STONE-CROSS-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TL151081,Long,-0.333701,Lat,51.759767,Elevation,420,ft,,,,,,,,,,,,
Station no,924/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.28,1.47,4.35,1.17,0.8,3.35,1.71,0.97,0.95,2.26,4.07,1.39,2.85,2.97,2.47
February,,,,,,2.41,1.42,0.97,1.2,4.4,4.82,0.61,1.8,2.1,1.75,0.31,3.22,3.01,0.06,2.34
March,,,,,,0.93,5.68,0.79,1.16,0.73,3.45,2.52,0.44,2.29,1.17,0.94,1.42,1.7,2.57,1.6
April,,,,,,1.22,2,1.18,1.96,1.58,3.01,2.12,2.55,0.3,0.52,1.1,0.17,1.38,2.5,0.67
May,,,,,,2.74,1.26,3.46,1.75,1.67,2.18,1.52,1.39,2.49,4.71,0.5,1.26,2.28,0.84,1.73
June,,,,,,2.08,2.68,2.55,0.66,1.44,1.42,1.12,1.8,3.72,1.72,2.99,1.17,4.87,0.99,1.7
July,,,,,,1.81,1.87,0.86,1.14,4.61,1.18,0.56,3.18,3.04,0.15,2.22,2.93,1.74,4.03,3.15
August,,,,,,3.48,0.04,1.88,2.04,3.19,3.47,5.13,1.91,3.13,0.73,5.86,2.29,2.97,1.5,3.06
September,,,,,,3.89,1.21,1.61,0.5,3.08,2.89,3.42,1.9,1.62,1.93,2.46,3.37,4.19,0.1,3.74
October,,,,,,1.3,0.05,2.01,6.3,0.43,1.08,3.03,2.82,2.21,3.53,1.65,1.98,3.4,2.04,5.79
November,,,,,,5.64,1.07,1.57,2.56,4.96,5.27,3.56,1.5,5.06,2.33,0.53,2.22,2.25,2.17,4.01
December,,,,,,1.83,2.35,2.7,1.68,1.26,1.96,2.88,0.53,1.91,2.24,4.22,2.24,3.58,4.5,3.41
Total,,,,,,29.61,21.1,23.93,22.12,28.15,34.08,28.18,20.79,28.82,23.04,26.85,23.66,34.22,24.27,33.67
