"WESTERHAM TOWN",,,,,,,,,,,,
Grid ref,TQ446536,Long,0.071123,Lat,51.263224,,,,,,,
Station no,374,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,2.54,1.36,1.87,3.99,4.88,1.92,3.50,2.91,3.11,,
February,6.80,1.04,1.81,2.44,2.20,1.16,4.55,2.78,0.09,2.21,,
March,4.40,3.51,0.41,2.59,1.50,1.12,1.60,2.00,1.82,1.81,,
April,3.16,1.68,2.72,0.34,0.28,1.71,0.20,1.22,2.19,0.98,,
May,1.91,1.27,1.86,2.59,4.15,0.64,1.31,1.58,1.08,1.94,,
June,1.92,1.86,1.59,3.92,2.05,3.69,1.23,4.55,1.02,1.52,,
July,2.67,0.71,3.95,3.91,0.44,3.72,3.33,1.77,1.52,3.30,,
August,6.17,4.53,2.02,3.46,0.77,2.76,2.55,3.84,1.08,3.69,,
September,2.85,3.43,4.21,2.55,2.80,2.72,2.81,6.23,0.15,3.96,,
October,1.51,3.14,4.33,2.70,4.61,1.40,1.73,3.55,3.51,7.80,,
November,5.49,4.32,1.89,5.48,1.30,0.91,3.20,1.93,3.18,5.53,,
December,3.12,3.07,0.93,1.88,2.87,4.21,1.82,3.98,5.70,3.88,,
Total,43.39,31.10,27.08,33.73,26.96,28.92,26.25,36.93,24.25,39.73,,
Calc annual,43.39,31.10,27.08,33.73,26.96,28.92,26.25,36.93,24.25,39.73,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
