"GLENFARG (WATERWORKS)",,,,,,,,,,,,
Grid ref,NO127127,Long,-3.412265,Lat,56.298666,,,,,,,
Station no,5537/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,4.80,0.80,2.55,1.70,2.70,6.13,3.40,1.90,4.09,,
February,2.10,0.70,0.90,3.12,2.70,0.95,3.38,1.95,1.00,3.23,,
March,2.20,3.40,0.70,3.72,2.50,2.00,2.80,2.70,1.96,2.16,,
April,2.80,2.00,2.10,1.30,1.30,0.55,1.24,2.00,2.85,2.95,,
May,1.60,1.70,1.90,6.60,2.90,1.47,1.79,2.45,1.10,3.25,,
June,1.90,2.20,1.85,3.30,2.20,3.08,0.95,4.49,2.20,2.00,,
July,4.17,1.50,5.10,3.00,1.15,7.00,4.81,6.80,5.38,3.50,,
August,5.10,4.05,1.55,3.70,0.80,5.65,5.35,4.30,0.60,4.60,,
September,2.40,3.20,3.40,2.50,1.45,4.59,2.04,3.55,0.75,2.11,,
October,0.90,4.60,1.05,5.90,2.85,2.13,2.40,2.80,2.80,6.12,,
November,6.40,1.20,3.40,9.50,1.60,0.78,2.85,1.10,7.92,4.05,,
December,5.20,3.30,4.12,8.76,5.60,5.10,5.35,6.30,6.50,3.72,,
Total,37.07,32.65,26.87,53.95,26.75,36.00,39.09,41.84,34.96,41.78,,
Calc annual,37.07,32.65,26.87,53.95,26.75,36.00,39.09,41.84,34.96,41.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
