BLEAKLOW-HILL-DOWSTONE-ROCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK093979,Long,-1.8613428,Lat,53.477746,Elevation,1718,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2644/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,7.25,6.25,3.8,4.55,4.1,5.1,6.85,6.52,6.92,2.79,4.05,5.12,7.01,9.6,6.79,6.36,3.2,13.67,3.9,4.37,-999,6.1,3.35,5.9,3.17,7.7,4.55,5.55,4.2,7.2
February,9.3,0.65,8.3,0.53,8.05,3.84,8.26,3.08,6.82,3.87,7.05,3.06,4.35,3.3,7,9.05,2.5,4.3,3.66,8.2,-999,3.3,3.5,4.27,3.2,1.95,4.4,8.5,0.9,3.15
March,1.4,3.53,3.68,6.29,3.34,5.1,5.62,2.86,3.65,5.15,7.05,4.03,2.44,1.08,1.95,3,8.5,2.21,2.45,3.1,7.63,3.2,3.3,4.05,4.05,3.3,4.4,3.8,2.9,1.95
April,6.9,7,2.36,3.76,4.66,2.69,3.84,0.95,3.37,3.7,4.85,2.41,3.86,3.7,3.23,2.5,4.46,2.8,6.8,6.45,4.05,4.92,4.05,1.45,3.3,3.4,0.85,2.05,5.25,3.4
May,3.52,5.06,2.18,3.65,0.78,2.15,3.2,4.88,3.35,1.1,3.75,4.63,3.71,6.55,3.85,2.56,4.25,2.55,3.62,2.87,5,3.12,3.2,4.22,4.67,2,2.2,5.43,2.5,3.3
June,7.17,0.98,3.77,3.02,4.82,4.51,2.79,6.05,3.82,1.1,3.05,1.67,5.02,4.6,5.38,6.11,3.22,7.44,1.4,4.7,1.82,4.4,4.3,4.15,4.35,4.9,2.35,5.67,3.11,2.1
July,7.03,6.05,4.27,5.1,2.95,6.82,4.24,6.35,9.02,5.23,4.4,6.1,3.22,4.65,2.97,6.95,2.91,3.05,3.83,4.6,4.62,3.78,8.2,8.8,1.52,9.6,6.05,6.45,4.7,8.7
August,8.79,2.69,1.94,5.34,2.77,3.72,1.63,4.18,3.38,3.42,8.55,6.52,7.96,6.8,4.3,6.05,,7.09,3.68,5.28,6.28,4.33,5.5,8.07,1.47,13.6,8.2,6.47,0.87,6.8
September,6.76,6.59,2.2,3.79,7.78,8.15,1.9,2.8,2.8,5.5,1.25,5.45,5.85,,3.55,9.95,,3.54,3.05,7.87,3.66,5.95,4.65,7.15,2.55,6.1,9.3,6.6,0.35,5.85
October,3.03,9.56,6.71,7.65,11.6,7.62,3.66,11.16,4.75,5.6,7.2,10.69,4.1,7.1,7.8,2.14,,4.37,5.43,,1.62,8.58,2.85,10.05,3.9,3.6,6.85,5.55,4.92,8.95
November,6.86,4.92,3.98,4.34,8.8,8.08,3.18,6.06,9.4,9.95,4.8,1.67,4.9,8.55,1.15,9.72,,2.95,9.5,9.22,11.8,4.3,,9.8,3.4,2.9,4.15,1.85,6.63,7.95
December,3.1,3.02,0.93,7.65,5.16,5.28,3.65,5.56,3.9,7.14,4.4,6.04,3.2,5.6,4.45,5.3,6.62,4.85,10.23,2.63,9.6,5.73,2.95,9.6,7.4,7.4,7.3,5,8.65,5.99
Total,71.11,56.3,44.12,55.67,64.81,63.06,48.82,60.45,61.18,54.55,60.4,57.39,55.62,,52.42,69.69,,58.82,57.55,,68.83,57.71,,77.51,42.98,66.45,60.6,62.92,44.98,65.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11890 BLEAKLOW HILL Starts 1931 ends 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Dowstone Rocks. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1941, Feb and Mar 1947, Jan 1948 and Feb 1955 corrected for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
