HEYFORD-WARREN-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SP497262,Long,-1.2785614,Lat,51.9321,Elevation,324,ft,,,,,,,,,,,,
Station no,RR6477,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.53,2.78,3.52,3.89,1.19,1.39,4.25,2.42,2.3,3.31,1.89,5.08,1.53,
February,,,,,,,2.38,1.4,2.27,2.59,2.26,1.05,1.81,1.15,1.73,1.13,2.61,1.4,1.7,
March,,,,,,,1.29,2.88,1.82,1.52,1.78,1.28,2.07,2.14,0.73,0.83,3.34,2.19,0.81,
April,,,,,,1.23,2.17,2.36,1.82,1.34,0.36,2.9,2.65,0.12,1.2,2.08,3.12,2.84,2.25,
May,,,,,,1.52,1.85,2.47,1.49,3.58,1.39,0.56,1.56,2.55,1.36,1.89,0.43,2.77,,
June,,,,,,3.22,3.22,1.85,0.56,1.35,0.61,3.57,2.56,3.13,0.25,2.81,2.03,0.79,,
July,,,,,,3.81,2.01,2.25,0.83,0.91,1.1,3.1,3.39,1.51,0.58,4.92,0.69,4.26,,
August,,,,,,3.56,2.73,2.4,3.05,0.83,2.73,0.38,2.15,1.92,1.45,1.86,2.69,3.69,,
September,,,,,,0.17,4.77,1.39,4.44,3.8,0.98,5.42,1.17,1.25,2.91,2.22,5.09,2.67,,
October,,,,,,4.9,2.55,2.56,2.25,1.01,3.77,1.05,2.92,1.58,2.67,7.17,1.33,1.83,,
November,,,,,,2.47,1.89,0.84,1.76,2.04,1.14,0.8,3.94,1.09,2.49,4.58,3.95,3.9,,
December,,,,,,2.4,2.05,1.35,5.15,3.79,1.64,1.13,3.86,0.76,2.15,0.95,5.79,2,,
Total,,,,,,,30.44,24.53,28.96,26.65,18.95,22.63,32.33,19.62,19.82,33.75,32.96,33.42,,
