"WARNEFORD ASYLUM",,,,,,,,,,,,
Grid ref,SP538061,Long,-1.222056,Lat,51.751019,,,,,,,
Station no,1053,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.54,0.78,,
February,,,,,,,,,0.84,0.43,,
March,,,,,,,,,2.38,2.43,,
April,,,,,,,,,4.48,1.56,,
May,,,,,,,,,1.31,2.09,,
June,,,,,,,,,1.24,3.33,,
July,,,,,,,,2.76,2.45,2.47,,
August,,,,,,,,1.22,2.84,3.27,,
September,,,,,,,,0.88,1.39,2.38,,
October,,,,,,,,5.44,1.02,3.50,,
November,,,,,,,,2.09,1.01,0.76,,
December,,,,,,,,3.73,2.04,2.89,,
Total,,,,,,,,,22.54,25.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.12,22.54,25.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
