"PORTHCAWL (GRIFFIN PARK) M.W.R.",,,,,,,,,,,,
Grid ref,SS822771,Long,-3.697770,Lat,51.480551,,,,,,,
Station no,4060/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,3.94,1.72,3.02,3.06,5.87,3.14,,4.53,4.94,,
February,4.19,0.96,1.99,5.54,2.98,0.24,4.26,4.99,0.31,3.38,,
March,5.06,3.48,1.29,3.75,1.61,1.28,4.53,,3.17,2.03,,
April,4.20,2.75,2.50,0.88,2.63,1.34,0.27,0.67,3.62,2.76,,
May,2.98,3.45,2.51,1.89,3.90,1.21,1.37,,0.87,1.12,,
June,0.47,1.93,2.88,4.89,4.04,2.03,1.20,4.54,1.94,1.34,,
July,0.97,1.33,6.19,4.06,-999.00,3.68,3.76,3.71,3.01,5.75,,
August,,5.11,5.07,3.17,0.88,4.27,3.44,4.42,4.17,3.47,,
September,,2.73,4.68,5.46,1.67,5.44,6.33,6.20,0.43,5.79,,
October,0.98,5.05,3.54,6.49,1.87,3.00,4.01,4.91,5.25,5.75,,
November,5.86,4.31,3.30,8.08,2.99,1.33,2.61,,5.47,9.00,,
December,3.38,4.07,1.57,4.25,6.72,4.72,1.88,,7.88,5.42,,
Total,,39.11,37.24,51.48,33.10,34.41,36.80,,40.65,50.75,,
Calc annual,33.44,39.11,37.24,51.48,32.35,34.41,36.80,29.44,40.65,50.75,,
Difference,NaN,-0.00,0.00,-0.00,0.75,-0.00,-0.00,NaN,0.00,0.00,,
