"KIRROUGHTREE FOREST",,,,,,,,,,,,
Grid ref,NX455648,Long,-4.414183,Lat,54.953835,,,,,,,
Station no,5013/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.19,5.86,2.70,5.51,3.15,4.99,5.70,6.78,2.71,5.40,,
February,3.76,1.99,2.25,6.22,3.20,1.06,3.56,4.21,2.04,6.12,,
March,4.23,4.03,0.50,5.33,3.62,3.44,4.50,1.35,3.95,2.36,,
April,1.67,2.36,2.80,2.65,4.83,2.14,2.00,1.97,2.86,4.76,,
May,2.57,2.77,3.99,4.08,3.70,2.66,3.81,3.63,1.30,2.95,,
June,2.49,3.79,1.38,5.79,5.02,4.07,2.07,3.84,2.84,2.61,,
July,2.30,3.35,6.61,6.18,1.80,5.96,5.07,3.34,3.39,5.03,,
August,8.11,3.31,4.10,5.50,1.95,6.76,5.16,5.04,0.62,6.38,,
September,6.13,2.78,6.63,7.89,3.73,4.46,6.30,7.45,2.23,3.68,,
October,0.61,5.50,5.23,9.48,3.89,3.55,6.64,5.02,6.11,5.70,,
November,11.07,3.71,7.68,11.03,4.46,3.04,4.50,3.05,6.97,8.50,,
December,8.05,5.16,6.31,9.45,6.32,7.70,8.48,6.56,9.89,5.07,,
Total,57.18,44.61,50.18,79.11,45.67,49.83,57.79,52.24,44.91,58.56,,
Calc annual,57.18,44.61,50.18,79.11,45.67,49.83,57.79,52.24,44.91,58.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
