TAWSTOCK-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS557299,Long,-4.05998,Lat,51.05035,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.41,5.05,8.05,4.87,3.86,2.95,4.06,3.89,5.65,5.75,6.27,1.65,5.98,3.55,4.69,2.77,4.11,1.41,4.5,,,,
February,,,,,,,,,3,4,1.55,0.33,4.57,9.61,0.7,7,2.47,2.72,3.33,1.65,1.35,2.91,0.05,3.71,0.33,3.81,2.89,,,,
March,,,,,,,,,1.95,6.18,4.22,3.12,4.18,2.53,2.15,1.01,0.55,3.75,3.47,0.57,2.75,1.9,2.51,3.14,2.88,1.44,2.52,,,,
April,,,,,,,,,2.25,3.13,5.62,2.25,4.86,3.8,3.67,2.14,1.86,1.86,1.47,0.71,2.89,3.19,2.24,1.79,2.86,4.85,2.44,,,,
May,,,,,,,,,2.4,0.94,1.9,1.82,1.75,1.95,3.89,2.05,1.47,1.05,1.14,3.56,2.2,,3.27,2.39,1.49,2.31,0.65,,,,
June,,,,,,,,,1.48,1.49,3.46,0.37,1.49,1.1,2.9,0.01,1.93,2.45,3.07,2.58,0.57,4.42,0.87,1.44,1.65,2.82,2.21,,,,
July,,,,,,,,,5.47,1.26,5.26,2.29,2.75,5.55,4.37,4.39,2.33,4.24,1.97,2.45,2.51,5.46,3.74,2.51,0.37,0.84,7.53,,,,
August,,,,,,,,,5.27,2.51,2,3.05,3.89,3.25,5.41,4.3,2.85,5.11,2.89,3.38,3.46,4.39,1.33,1.31,4.51,4.08,0.7,,,,
September,,,,,,,,,10.14,2.49,4.11,2.55,4.2,4.93,6.03,4.57,2.2,6.88,1.29,0.59,4.39,1.9,5.22,1.45,3.85,5.52,4.52,,,,
October,,,,,,,,,2.56,2.27,5.23,1.94,1.64,8.09,5.22,4.47,3.16,2.62,6.35,6.4,4.82,1.12,9.72,5.99,4.88,6.59,2.55,,,,
November,,,,,,,,3.1,4.8,4.65,2.35,3.22,2.32,4.64,3.75,3.92,7.97,3.26,3.31,9.53,3.76,7.39,3.21,1.53,2.39,6.37,4.41,,,,
December,,,,,,,,1.35,4.67,7.85,4.75,3.35,7.1,5.23,6,4.01,0.82,2.74,,7.56,5.1,2.44,2.67,2.04,8.86,4.45,4.67,,,,
Total,,,,,,,,,49.4,41.82,48.5,29.16,42.61,53.63,48.15,41.76,33.26,42.43,,40.63,39.78,,39.52,30.07,38.18,44.49,39.59,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large grounds between hills so exact location of gauge unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Apr May Note says values low for these months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Dec Estimated Gauge leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 May Estimated Observer agrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Observer leaving and giving up observations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
