"SANDY BEESTON GRANGE",,,,,,,,,,,,
Grid ref,TL166482,Long,-0.298396,Lat,52.119830,,,,,,,
Station no,RR4914,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.37,0.82,1.22,0.81,,
February,,,,,,,1.44,0.88,1.00,0.44,,
March,,,,,,,1.78,0.87,2.53,2.59,,
April,,,,,,,0.59,2.39,2.78,1.44,,
May,,,,,,,1.23,3.42,1.31,1.27,,
June,,,,,,,2.94,1.88,0.91,3.84,,
July,,,,,,,0.53,2.09,2.54,2.70,,
August,,,,,,,1.01,2.10,2.60,1.77,,
September,,,,,,,0.86,0.61,1.26,1.94,,
October,,,,,,,3.00,3.30,1.56,3.49,,
November,,,,,,,3.57,1.96,0.89,0.70,,
December,,,,,,,1.82,2.67,1.36,2.57,,
Total,,,,,,,21.14,22.99,19.96,23.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.14,22.99,19.96,23.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
