SANDY-BEESTON-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL166482,Long,-0.298396,Lat,52.11983,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.37,0.82,1.22,0.81,1.35,1.13,3.6,1.99,0.97,2.48,1.11,1.57,3.01,3.3,1.89,1.83,1.95,1.23,2.08,1.09,,,,,
February,,,,,,,1.44,0.88,1,0.44,2,1.02,1.16,0.71,1.19,2.14,3.38,0.56,0.89,2.27,0.34,0.49,1.5,1.95,0.61,1.79,,,,,
March,,,,,,,1.78,0.87,2.53,2.59,0.65,1.86,1.81,2.31,3.08,1.73,5.2,1.46,0.58,2.58,1.47,0.69,1.35,2.03,0.63,,,,,,
April,,,,,,,0.59,2.39,2.78,1.44,2,1.09,0.09,1.78,0.49,0.84,1.23,1.34,3.3,2.61,2.93,0.87,2.75,1.78,2.18,,,,,,
May,,,,,,,1.23,3.42,1.31,1.27,2.44,0.71,1.69,1.7,1.11,1.72,2.02,1.94,2.67,0.55,1.3,0.87,1.19,1.18,5.09,,,,,,
June,,,,,,,2.94,1.88,0.91,3.84,0.99,2.19,3,0.75,2.15,0.87,2.27,3.59,0.58,1.11,1.64,0.5,1.04,0.43,1.82,,,,,,
July,,,,,,,0.53,2.09,2.54,2.7,1.79,0.55,2.84,1.55,2.12,5.27,2.36,3.25,2.52,2.56,3.51,0.14,3.58,2.64,3.3,,,,,,
August,,,,,,,1.01,2.1,2.6,1.77,1.86,1.2,6.37,0.89,1.45,3.74,2.43,4.43,0.77,2.28,0.94,1.05,2.25,2.46,1.95,,,,,,
September,,,,,,,0.86,0.61,1.26,1.94,0.82,1.03,1.38,2.19,1.1,1.47,0.92,2.21,5.92,1.9,1.88,1.51,2,2.9,2.26,,,,,,
October,,,,,,,3,3.3,1.56,3.49,1.92,1.58,1.96,2.51,2.34,0.95,2,3.14,1.39,0.73,1.15,1.04,0.64,3.56,3.38,,,,,,
November,,,,,,,3.57,1.96,0.89,0.7,2.96,2.5,1.63,1.85,2.29,2.41,2.58,1.16,2.17,1.53,1.04,1.65,0.98,0.92,2.12,,,,,,
December,,,,,,,1.82,2.67,1.36,2.57,3.63,3.07,2.12,0.83,5.41,3.54,2.51,0.5,1.74,3.63,1.34,1.23,1.76,1.54,2.51,,,,,,
Total,,,,,,,21.14,22.99,19.96,23.56,22.41,17.93,27.65,19.06,23.7,27.16,28.01,25.15,25.54,25.05,19.43,11.87,20.99,22.62,27.93,,,,,,
