DORCHESTER (LITTLE CHEAM),,,,,,,,,,,,
Grid ref,SY717928,Long,-2.402375,Lat,50.734119,,,,,,,
Station no,1580/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.99,2.15,3.88,5.92,4.73,4.44,6.73,3.83,,
February,,,2.27,3.91,2.58,0.13,4.85,3.86,0.40,3.87,,
March,,,0.78,4.92,1.75,0.84,3.46,1.91,3.99,2.62,,
April,,,2.73,0.10,0.80,1.33,0.37,0.59,3.03,2.88,,
May,,,3.24,4.04,5.16,0.80,2.91,3.04,1.90,1.59,,
June,,1.83,3.31,3.20,3.19,2.61,2.83,3.55,1.21,2.24,,
July,,0.83,3.67,2.63,2.28,2.78,5.24,2.74,1.23,3.95,,
August,,4.60,1.91,3.22,0.75,5.16,3.76,2.34,2.42,5.99,,
September,,4.56,3.60,4.31,1.70,6.71,4.20,5.48,0.11,5.51,,
October,,5.12,4.16,3.66,2.33,1.97,3.36,3.84,3.75,11.41,,
November,,3.57,2.25,7.14,4.12,0.91,2.85,3.28,4.95,7.23,,
December,,3.60,1.01,3.70,6.25,6.76,3.17,5.85,10.35,4.19,,
Total,,,29.92,42.98,34.79,35.92,41.73,40.92,40.07,55.31,,
Calc annual,0.00,24.11,29.92,42.98,34.79,35.92,41.73,40.92,40.07,55.31,,
Difference,NaN,NaN,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
