PARTRIDGE-GREEN-SHERMANBURY-GRANGE,,,,,,,,,,
Grid ref,TQ203192,Long,-0.288437,Lat,50.959678,Elevation,39,ft,,
Station no,495/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.95,4,4.28,3.91
February,,,,,,,4.8,2.36,0.04,2.97
March,,,,,,,1.61,3.09,2.1,1.52
April,,,,,,,0.21,0.75,2.8,0.84
May,,,,,,,1.06,2.9,0.63,1.73
June,,,,,,,1.44,4,1.43,2.24
July,,,,,,,4.24,2.09,1.36,3.98
August,,,,,,,2.57,4.5,1.48,5.43
September,,,,,,,3.89,3.76,0.08,4.36
October,,,,,,,1.18,3.15,3.04,7.46
November,,,,,,0.63,3.78,2.17,4.05,6.63
December,,,,,,4.58,2.17,4.76,8.38,3.7
Total,,,,,,,29.9,37.53,29.67,44.77
