EXETER MANSTON TERRACE (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX933923,Long,-3.512893,Lat,50.720498,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,5.73,1.63,4.78,0.96,2.07,1.47,3,3.5,2.66,5.01,2.65,1.28,0.58,3.54,1.99,2.59,2.99,3.49,5.39,0.56,2.62,0.65,4.99
February,,,,,,,,1.45,1.78,4.42,4.31,4.36,2.08,7,4.61,4.56,1.46,0.19,0.56,1.98,1.3,0.02,2.61,3.97,1.14,0.03,0.36,3.49,2.01,4.78
March,,,,,,,,2.99,1.55,0.41,2.75,3.79,0.85,1.32,3.12,1.34,2.6,1.44,4.13,3.13,1.59,2.43,0.86,0.18,1.6,2.16,3.4,4.68,1.92,0.43
April,,,,,,,,6.24,3.58,3.41,1.78,1.21,5.14,1.27,2.16,5.54,1.85,0.99,1.07,1.15,3.41,1.31,0.97,0.37,2.54,1.98,0.41,3.59,1.81,2.58
May,,,,,,,,3.17,3.89,3,1.22,0.69,2.12,1.17,0.86,2.2,3.55,1.11,1.53,2.84,2.28,2.5,0.78,1.38,2.82,1.2,0.05,1.44,3.35,2.44
June,,,,,,,,0.9,2.63,6.08,1.77,3.25,3.28,2.32,2.3,1.81,0.61,0.06,2.44,0.21,2.43,1.9,1.22,0.52,1.7,1.06,2.11,2.4,1.04,1.01
July,,,,,,,0.63,2.93,1.77,3.25,3.92,1.49,2.99,3.22,2.28,0.3,2.5,0.83,6.68,2.69,2.13,1.85,1.6,3.95,3.8,2.47,0.95,0.47,0.41,1.76
August,,,,,,,3.72,3.42,2.86,4.44,1.25,3.34,2.53,1.03,1.05,2.56,1.45,1.06,2.61,2.27,2.79,5.6,2.92,1.5,3.07,2.51,1.63,3.2,2.49,2.27
September,,,,,,,6.76,2.39,1.81,2.83,2.81,2.36,3.75,5.68,1.63,3.87,1.76,2.15,0.79,1.41,0.79,2.09,1.57,0.96,2.65,0.65,3.87,2.9,0.66,1.94
October,,,,,,,3.94,1.71,4.2,0.9,5.6,3.19,6.82,3.45,1,5.49,5.73,3.54,1.29,4.54,1.32,8.02,4.53,2.39,4.59,4.31,2.37,1.16,5.46,2.03
November,,,,,,,4.44,6.09,2.81,0.12,2.75,3.89,4.1,3.3,1.71,3.56,2.23,3.73,8.13,0.92,2.89,4.38,2.42,1.97,5.54,7.22,0.98,1.34,3.23,2.88
December,,,,,,,9,1.83,2.66,0.88,3.81,3.12,4.34,1,3.31,1.64,5.17,2.61,3.31,1.5,3.37,3.88,1.29,3.87,1.84,3.97,5.74,5.37,2.67,4.51
Total,,,,,,,,38.85,31.17,34.52,32.93,32.76,39.47,33.76,27.53,35.53,33.92,20.36,33.82,23.22,27.84,35.97,23.36,24.05,34.78,32.95,22.43,32.66,25.7,31.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880s sheet to be added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
