BRIDGWATER-PURITON,,,,,,,,,,
Grid ref,ST321415,Long,-2.97254,Lat,51.1687,Elevation,50,ft,,
Station no,2011/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.51,1.7,3.01,3.83
February,,,,,,,3.79,3.19,0.29,2.8
March,,,,,,,2.1,0.76,3.12,2.05
April,,,,,,,0,0.68,2.7,2.18
May,,,,,,,1.8,2.48,1.16,1.11
June,,,,,,,3.52,3.35,1.23,1.13
July,,,,,,,3.19,2.09,2.22,4.85
August,,,,,,,2.65,4.01,1.02,3.03
September,,,,,,,3.4,3.95,0.15,3.41
October,,,,,,,2.15,2.13,2.93,10.04
November,,,,,,,2.4,3.19,4.45,2.8
December,,,,,,,2.26,4.04,5.41,2.91
Total,,,,,,,30.77,31.57,27.69,40.14
,,,,,,,,,,
Location of gauge unknown NGR taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Puriton SRC_ID 9314,,,,,,,,,,
1957-1969,,,,,,,,,,
