PENRITH LOWTHER STREET,,,,,,,,,,
Grid ref,NY518308,Long,-2.748587,Lat,54.670509,Elevation,575,ft,,
Station no,RR6092,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.04,1.3,3.45,4.18,,,,,,
February,5.8,3.34,2.16,2.33,,,,,,
March,1.96,1.47,3.15,5.23,,,,,,
April,2.27,2.11,0.5,4.59,,,,,,
May,2.18,2.49,1.82,1.45,,,,,,
June,1.19,3.56,4.92,1.95,,,,,,
July,4.39,0.35,3.6,1.06,,,,,,
August,6.25,2.3,5.44,1.3,,,,,,
September,0.41,3.09,1.54,1.84,,,,,,
October,2.29,3.18,3.34,3.4,,,,,,
November,3.1,4.05,3.01,3.07,,,,,,
December,3.62,7.93,5.35,3.21,,,,,,
Total,37.5,35.17,38.28,33.61,,,,,,
,,,,,,,,,,
"NGR for Briar Cottage, where observer E Lester lived in 1911",,,,,,,,,,
