MASHAM MOOR - ARNAGILL BECK W,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE145746,Long,-1.779,Lat,54.167,Elevation,1210,ft,,,,,,,,,,,,,,,,,,,
Station no,3407/5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.90,6.45,6.00,7.18,7.23,2.38,5.30,8.12,6.57,5.04,4.35,4.80,4.40,10.48,2.08,2.68,5.06,4.90,1.18,3.29,4.42,5.24,5.50,3.79,5.44,7.88
February,,7.20,4.30,7.50,2.07,3.73,2.01,8.15,3.09,3.04,2.84,5.57,3.86,6.50,3.18,3.62,8.51,4.75,1.93,2.46,4.63,3.31,3.17,3.85,6.90,0.29,5.84
March,,1.30,2.50,4.67,0.78,3.29,2.70,3.48,4.07,2.37,0.52,2.74,1.90,7.64,2.70,1.61,2.13,5.25,3.25,0.65,3.13,2.37,1.69,2.53,3.60,2.93,3.19
April,,3.60,1.85,3.75,0.32,2.04,2.90,2.70,1.74,2.42,2.86,1.40,2.42,6.57,2.78,4.79,3.64,2.81,2.15,3.20,0.88,1.07,2.20,0.43,0.80,4.85,2.39
May,,0.90,2.70,3.55,3.55,1.62,2.11,2.18,2.95,3.64,1.80,2.10,3.60,3.05,1.28,1.62,2.11,7.95,1.48,,5.33,3.30,0.86,1.47,5.75,1.15,1.80
June,,3.50,5.60,1.65,4.64,2.85,0.45,0.45,1.22,2.55,2.29,4.33,3.00,4.00,4.08,0.73,1.54,1.23,1.90,3.67,2.90,2.88,3.19,1.70,4.05,1.50,1.48
July,,1.00,3.55,2.80,3.88,4.40,4.83,1.95,3.55,2.57,3.05,2.40,3.00,2.13,1.27,2.49,3.22,1.91,1.45,4.82,3.06,1.20,5.52,3.10,3.75,1.58,5.74
August,,1.70,2.70,1.95,4.40,2.56,0.74,2.85,3.91,4.18,2.25,2.41,7.19,0.96,4.96,3.17,6.50,5.98,4.40,4.38,7.40,1.70,7.45,7.24,3.78,0.94,4.22
September,,6.60,3.00,1.85,2.50,1.82,2.55,0.33,2.52,5.58,6.85,2.50,7.64,2.51,2.86,1.84,6.45,2.44,5.10,3.82,4.50,1.82,4.47,4.76,3.63,0.34,3.85
October,,8.05,3.20,3.12,10.62,3.82,4.92,5.15,3.78,2.82,5.17,7.12,3.03,1.62,1.33,4.98,1.64,1.80,5.58,3.33,8.16,2.28,2.49,5.00,3.23,5.32,9.38
November,3.40,7.40,4.20,2.56,6.46,5.82,6.62,4.05,1.58,2.68,8.18,1.16,9.38,5.02,1.78,5.70,5.09,10.90,2.72,2.85,7.33,3.09,0.87,2.61,1.15,6.28,4.15
December,7.70,2.80,5.55,5.58,5.81,2.39,3.12,2.45,4.30,2.41,5.05,2.98,3.62,3.48,4.89,6.95,1.77,6.45,3.05,2.48,5.16,5.86,5.59,4.62,5.61,9.08,4.71
Total,,45.95,45.60,44.98,52.21,41.57,35.33,39.04,40.83,40.83,45.90,39.06,53.44,47.88,41.59,39.58,45.28,56.53,37.91,,55.77,33.30,42.74,42.81,46.04,39.70,54.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/280,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/139,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/231,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1947 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for May 1953 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1976 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
