OLD-WINDSOR-FRIARY-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU990740,Long,-0.57650984,Lat,51.456333,Elevation,55,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.96,0.53,2.42,1.8,0.58,1.58,2.96,2.13,0.41,1.41,1.13,1.13,1.47,0.45,0.54,2.33,,,,,,
February,,,,,,,,,0.97,2.08,0.96,0.1,1.35,3.28,1.9,0.58,0.32,2.6,1.27,1.27,4.16,0.28,1.1,1.05,,,,,,
March,,,,,,,,,3.16,1.77,1.69,1.55,1.18,0.4,1.12,0.7,3.62,3.97,0.67,0.67,,2.05,1.91,2.93,,,,,,
April,,,,,,,,,1.68,2,1.88,1.13,0.8,0.05,1.6,1.56,0.56,1.76,1.31,1.16,0.85,2.21,0.91,2.09,,,,,,
May,,,,,,,,,1.19,0.95,1.36,3.04,0.99,0.79,1.68,0.17,0.4,1.05,1.85,1.85,1.05,0.25,2.45,2.69,,,,,,
June,,,,,,,,,1.8,3.31,2.89,1.38,2.8,0.76,2.25,0.99,1.87,2.05,1.25,1.25,2.62,-999,3.79,6.58,,,,,,
July,,,,,,,,,5.77,0.34,4.52,1.62,2.48,1.9,4.24,4.29,1.29,,0.86,0.86,0.34,-999,,4.54,,,,,,
August,,,,,,,,,3.27,2.33,2.26,4.2,4.21,1.45,2.66,1.9,2,,,0.26,0.73,2.16,3.15,3,,,,,,
September,,,,,,,,,0.23,1.16,1.21,1.65,3.65,1.21,1.81,1.93,6.05,1.47,,1.8,0.41,0.79,0.95,2.02,,,,,,
October,,,,,,,,,1.11,3.16,0.75,6.45,4.61,7.2,4.44,3.34,1.93,0.89,3.32,3.26,2.33,1.32,1.55,7.56,,,,,,
November,,,,,,,,,4.23,0.38,1.98,2.46,1.99,2.16,3.11,4.32,0.8,1.01,2.34,4.1,1.62,0.18,2.05,2.04,,,,,,
December,,,,,,,,,1.59,1.28,0.81,3.96,1.61,2.62,2.04,2.28,3.35,2.81,2.18,1.41,3.29,3.46,1.69,2.06,,,,,,
Total,,,,,,,,,25.96,19.29,22.73,29.34,26.25,23.4,29.81,24.19,22.6,,,19.02,,16.36,,38.89,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is The Friary. Stated altitude of 100 ft. is too high; OS figure used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
