"OLD WINDSOR THE FRIARY",,,,,,,,,,,,
Grid ref,SU990740,Long,-0.576510,Lat,51.456333,,,,,,,
Station no,RR4741,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.47,0.45,0.54,2.33,,,,,,,,
February,4.16,0.28,1.10,1.05,,,,,,,,
March,,2.05,1.91,2.93,,,,,,,,
April,0.85,2.21,0.91,2.09,,,,,,,,
May,1.05,0.25,2.45,2.69,,,,,,,,
June,2.62,,3.79,6.58,,,,,,,,
July,0.34,-999.00,1.10,4.54,,,,,,,,
August,0.73,2.16,3.15,3.00,,,,,,,,
September,0.41,0.79,0.95,2.02,,,,,,,,
October,2.33,1.32,1.55,7.56,,,,,,,,
November,1.62,0.18,2.05,2.04,,,,,,,,
December,3.29,3.46,1.69,2.06,,,,,,,,
Total,,,21.19,38.89,,,,,,,,
Calc annual,18.87,13.15,21.19,38.89,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
