"MOFFAT ERICSTANE",,,,,,,,,,,,
Grid ref,NT072109,Long,-3.466271,Lat,55.383263,,,,,,,
Station no,RR1252,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.20,3.70,4.60,,5.60,,,,,,,
February,3.70,1.90,2.20,,4.40,,,,,,,
March,0.40,3.25,3.00,,4.20,,,,,,,
April,4.60,4.20,3.00,,5.60,,,,,,,
May,4.40,2.20,2.00,,3.30,,,,,,,
June,4.70,4.00,1.30,,4.30,,,,,,,
July,3.30,1.70,2.50,,3.60,,,,,,,
August,3.80,5.70,2.80,,5.10,,,,,,,
September,4.60,5.20,3.20,,3.80,,,,,,,
October,5.70,5.30,3.50,,2.80,,,,,,,
November,5.80,5.20,3.90,,2.40,,,,,,,
December,13.80,6.00,7.90,,5.00,,,,,,,
Total,62.00,48.35,39.90,,50.10,,,,,,,
Calc annual,62.00,48.35,39.90,0.00,50.10,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
