BIRMINGHAM W.W. FIGIN NO.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN824712,Long,-3.7270341,Lat,52.326253,Elevation,1700,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4242/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,5.9,4.9,7.2,3.45,,8.55,8.3,10.9,9.45,3.5,,6.7,10.05,12.13,8.75,,,,,,,,
February,,,,,,,,,6.35,2.2,7.6,4.3,,2.85,7.1,8.9,8.9,3.05,9.6,,6.35,0.8,,,,,,,,,
March,,,,,,,,,5.9,4.6,1.77,4.1,11.5,10.75,12.35,3.15,,,4.9,8.6,7.35,9,,,,,,,,,
April,,,,,,,,,3.75,6,6,3.4,1.1,9.25,3.2,5.65,7.6,,2.4,,10.35,2.8,,,,,,,,,
May,,,,,,,,,5,2.5,4.2,1.23,2.85,4.3,6.45,3.35,5.75,3.75,5.45,1.3,7.55,3.8,,,,,,,,,
June,,,,,,,,,3.35,3.7,8.05,5.1,6.8,7.45,2.6,1.9,5.75,4.15,4.35,5.92,4.8,1.2,,,,,,,,,
July,,,,,,,,,7.3,9.8,7.7,0.85,6.8,3.35,7.25,6.62,4.15,3.21,6.85,3.4,8.55,4.5,,,,,,,,,
August,,,,,,,,,7.25,3.6,7.1,4.1,16.5,6.15,7.4,8.2,6.15,16.15,4.45,6.55,4.1,11.34,,,,,,,,,
September,,,,,,,,,7.2,7.1,0.9,6.7,2.13,3.95,6.1,2.25,6.6,5.12,17.25,5.3,7.55,4.26,,,,,,,,,
October,,,,,,,,,1.7,10.9,6.96,5.8,8.3,6,3.45,3.85,13.2,13.5,7.4,3.85,6.85,4.1,,,,,,,,,
November,,,,,,,,,6.5,3.5,8.15,6.8,8.6,12.2,9.45,,5.25,10.35,8.55,,3.25,5.55,,,,,,,,,
December,,,,,,,,,7,8.45,10.4,10.9,11.6,6.7,11.1,15.1,5.85,,14.1,14.8,5.74,12.4,,,,,,,,,
Total,,,,,,,,,67.2,67.25,76.03,56.73,,81.5,84.75,,,,,,82.49,71.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is based on the comment on the No 2 gauge record, which states that No 2 is quarter mile NE of old, therefroe NGR is 440 yards SW of No 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gaps in the records are for bracketed readings that have been removed along with the respective annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
