"BIRMINGHAM W.W. FIGIN",,,,,,,,,,,,
Grid ref,SN828715,Long,-3.721272,Lat,52.329035,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.90,4.90,,
February,,,,,,,,,6.35,2.20,,
March,,,,,,,,,5.90,4.60,,
April,,,,,,,,,3.75,6.00,,
May,,,,,,,,,5.00,2.50,,
June,,,,,,,,,3.35,3.70,,
July,,,,,,,,,7.30,9.80,,
August,,,,,,,,,7.25,3.60,,
September,,,,,,,,,7.20,7.10,,
October,,,,,,,,,1.70,10.90,,
November,,,,,,,,,6.50,3.50,,
December,,,,,,,,,7.00,8.45,,
Total,,,,,,,,,67.20,67.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.20,67.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
