"BIRMINGHAM WW FIGIN",,,,,,,,,,,,
Grid ref,SN828715,Long,-3.721272,Lat,52.329035,,,,,,,
Station no,4242,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.30,8.35,4.65,7.05,6.80,9.60,7.15,7.40,10.00,12.05,,
February,8.55,6.40,4.70,8.40,3.15,2.00,6.45,10.95,2.20,10.80,,
March,10.00,4.00,6.95,5.70,4.75,5.55,6.55,2.05,4.85,4.50,,
April,7.80,3.25,6.00,3.95,6.80,3.25,0.85,3.70,7.75,6.45,,
May,3.90,3.90,4.05,4.65,8.30,2.75,3.45,4.85,1.65,2.45,,
June,1.85,5.05,2.25,7.15,7.85,4.70,3.65,5.45,3.55,3.50,,
July,3.85,3.10,10.45,9.00,1.15,5.45,10.05,5.05,6.35,9.65,,
August,8.35,7.35,6.50,9.55,2.00,11.15,15.00,5.60,1.00,7.75,,
September,5.90,7.50,7.85,8.85,6.90,8.00,15.70,9.60,0.75,6.70,,
October,3.05,9.50,4.50,12.95,6.85,5.45,8.25,8.90,11.45,7.15,,
November,14.85,6.50,6.85,12.00,4.45,5.55,4.55,4.00,9.30,13.55,,
December,11.10,8.95,3.45,12.25,8.40,9.30,8.25,7.05,14.00,11.65,,
Total,87.50,73.85,68.20,101.50,67.40,72.75,89.90,74.60,72.85,96.20,,
Calc annual,87.50,73.85,68.20,101.50,67.40,72.75,89.90,74.60,72.85,96.20,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
