COSSINGTON-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST356402,Long,-2.9212,Lat,51.15819,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.89,1.28,3.38,1.93,2.35,1.64,2.1,0.54,3.25,4.27,2.79,5.05,2.29,2.87,3.03,5.11,2.11,2.71,1.37,2.48,,,
February,,,,,,,,,2.26,1.37,0.56,1.89,0.04,4.17,0.26,2.32,2.08,4.46,1.05,1.13,2.12,2.74,0.32,1.03,0.88,2.02,1.32,1.05,,,
March,,,,,,,,,2.42,0.1,2.06,0.99,1.33,2.39,2.01,0.9,2.7,3.68,0.23,1.04,2.1,2.4,1.67,1.02,0.26,0.45,1.07,5.45,,,
April,,,,,,,,,1.16,0.49,3.11,2.03,2.25,1.13,2.32,3.86,2.45,2.66,0.1,2.98,2.31,2.25,0.7,0.81,1.74,0.56,3.18,2.03,,,
May,,,,,,,,,0.86,1.97,1.47,3.24,3.51,1.69,0.92,1.26,0.93,2.19,2.16,0.86,2.4,1.4,4.91,2.2,1.94,4.33,4.47,2.69,,,
June,,,,,,,,,2.46,2.23,0.74,3.7,0.96,1.4,1.66,1.95,2.82,0.63,1.24,2.95,0.76,1.76,0.45,1.55,2,2.79,2.44,1.3,,,
July,,,,,,,,,2.21,1.15,2.01,4.84,1.95,1.62,0.3,0.49,5.53,4.04,3.21,3.63,3.66,2.35,2.23,2.45,2.33,2.06,1.74,1.91,,,
August,,,,,,,,,1.78,2.78,2.7,3.19,1.24,0.9,3.81,1.63,0.63,1.3,2.52,2.05,0.04,3.9,4.7,4.12,2.65,2.43,4.3,1.1,,,
September,,,,,,,,,1.26,0.37,3.3,1.74,4.9,1.93,1.94,3.17,4.28,2.99,3.41,0.8,1.6,0.77,2.23,3.37,2.4,1.86,3.57,1.19,,,
October,,,,,,,,,5.08,4.46,2.74,0.64,6.36,3.04,3.38,4.53,1.59,2.92,2.51,3.16,4.02,1.36,2.71,2.89,3.54,3.3,0.85,0.62,,,
November,,,,,,,,,3.14,7.5,3.88,3.96,2.74,0.43,1.38,5.96,3.01,2.73,3.75,5.26,6.05,2.2,1.3,2.84,5.17,1,3.82,1.79,,,
December,,,,,,,,,2.74,6.65,3.61,1.37,1.92,0.95,6.6,4.1,1.81,1.9,3.19,1.69,2.58,1.52,3.09,1.89,2.8,4.76,3.05,2.16,,,
Total,,,,,,,,,29.26,30.35,29.56,29.52,29.55,21.29,26.68,30.71,31.08,33.77,26.16,30.6,29.93,25.52,27.34,29.28,27.82,28.27,31.18,23.77,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from Ashley Manor Hants/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July 20 Inspection Exposure excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
