WHALEY BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK007811,Long,-1.9903,Lat,53.3277,Elevation,602,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.96,4.35,4.37,8.95,2.79,6.05,7.07,4.57,2.47,3.38,3.2,3.65,7.77,,5.77,1.85,1.8,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,6.27,3.03,2.11,5.34,0.72,0.62,5.43,1.05,5.77,0.3,5.43,2.4,,,3,2,4.87,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.46,2.61,5.06,2.78,0.94,3.52,0.47,2.94,2.83,3.71,1.15,2.8,,,2.71,2.81,3.11,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.57,1.72,4.43,1.62,1.59,2.73,5.56,4.49,1.49,2.32,2.44,1.2,,,2.48,2.89,2.71,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,4.17,3.9,1.51,1.02,3.27,2.83,2.67,4.97,2.33,3.16,0.67,0.35,,,1.52,1.41,2.6,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.23,3.19,7.15,5.27,2.02,3.17,5.55,0.8,4.31,3.63,3.44,3.25,,,2.5,1.47,2.48,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.19,2.53,3.09,2.35,5.27,8.35,4.91,5.5,3.33,2.46,1.2,5.1,,,6.54,3.71,3.09,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.09,4.03,5.19,6.27,5,4.96,6.16,1.44,1.38,2.9,2.2,1.8,,,1.74,2.26,7.2,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5.09,3.95,7.29,0.9,2.45,4.02,4.57,3.49,0.77,3.09,5.8,4.45,,,1.22,3.3,0.83,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.11,4.33,3.1,5.37,5.6,6.75,1.94,7.76,5.62,5.06,7.5,5.25,,,2.48,4.04,4.77,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.14,3.23,5.41,4.28,7.3,8.93,4.73,5.1,3.38,1.79,1.59,5.5,5.1,,,6.03,7.96,3.61,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,4.12,3.45,2.88,1.6,3.04,8.08,4.74,1.99,1.5,0.51,5.09,4.7,4.4,,,2.36,4.54,2.69,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,43.82,41.93,49.18,50.21,46.66,52.47,51.42,41.89,32.6,36.69,43.23,39.75,,,38.35,38.24,39.76,39.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
