STONE-MEECE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ852326,Long,-2.2214151,Lat,52.890645,Elevation,331,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.8,3.96,3.1,2.22,3.58,1.39,2.49,1.7,2.64,3.41,2.77,,,,1.94,2.64,2.4,5.8,1.77,1.99,2.15,3.2,2.04,2.39,1.34,4.08,2.73,3.55,6.03,
February,,1.32,1.09,0.99,1.81,2.85,3.54,1.15,2.32,1.73,2.44,0.25,,,,3.76,2.66,1.64,2.96,0.55,0.65,2.91,0.17,4.11,0.34,2.72,1.15,4.4,0.84,1.51,
March,,1.64,4.05,4.39,3.14,1.3,2.66,1.98,1.66,5,2.44,1.47,,,,1.14,0.88,2.48,2.07,0.56,3.07,0,1.81,2.31,2.31,1.06,2.4,2.33,0.67,1.28,
April,,1.12,0.56,3.53,1.29,1.26,1.6,1.77,1.34,1.69,5.13,1.47,,,,1.66,1.51,2,2.33,0.58,2.5,4.04,2.97,1.4,2.3,3.69,2.04,3.2,0.15,1.73,
May,,0.67,2.85,2.32,2.5,2.12,2.04,2.71,1.8,0.99,3.74,1.64,,,,3.57,3.38,1.86,0.63,2,1.7,3.93,5.93,1.17,1.03,0.66,0.72,2.16,2.09,2.06,
June,,2.11,5.52,1.41,1.39,1.31,1.97,3.23,0.96,1.83,2.53,0.53,,,,0,2.42,4.9,3.41,1.59,1.06,3.04,0.32,2.33,1.32,3.07,3.71,0.78,1.61,1.68,
July,,0.46,3.51,1.12,5.1,6.86,3.02,1.24,3.23,1.71,5.67,0.8,,,,2.81,2.14,3.99,1.56,2.45,6.77,3.5,3.11,2.7,1.33,0.51,6.05,3.1,2.81,6.33,
August,,1.99,6.82,2,2.82,2.68,1.88,5.67,2.66,2.59,1.46,4.18,,,,2.58,2.12,4,3.53,3.14,3.42,5.15,1.59,0.84,3.54,1.94,1.14,1.24,3.1,2.82,
September,,1.66,1.17,2.2,1.46,0.46,1.38,1.42,5.89,2.28,3.06,1.03,,,,4.66,1.51,3.44,1.12,1.2,3.28,3.09,2.05,1.23,2.55,4,4.28,1.75,1.27,1.1,
October,,2.56,2.2,3.83,1.88,2,3.9,5.1,1.74,3.15,2.46,2.02,,,,4.14,2.38,2.2,4.08,4.34,4.14,1.02,5.53,2.73,2.65,5.51,2.37,2.11,3.24,2.35,
November,,2.18,2.66,2.44,3.53,2.61,2.15,2.3,2.02,1.43,0.83,1.89,,,,1.77,4.38,2.83,4.37,6.25,4.26,3.99,2.19,1.55,2.96,5.08,3.08,1.26,3.94,3.9,
December,,4.47,2.23,1.68,7.1,4.97,2.31,1.29,4.6,4.59,2.69,2.44,,,,2.05,0.72,1.09,2.51,4.55,2.47,1.31,1.02,0.36,3.95,3.19,2.21,3.6,3.27,2.15,
Total,,20.98,36.62,29.01,34.24,32,27.84,30.35,29.92,29.63,35.86,20.49,,,,30.08,26.74,32.83,34.37,28.98,35.31,34.13,29.89,22.77,26.67,32.77,33.23,28.66,26.54,32.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Meece House. Altitudes match, except 1930s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
