"KETTERING HEADLANDS, GEORGE STREET",,,,,,,,,,,,
Grid ref,SP865783,Long,-0.730187,Lat,52.395894,,,,,,,
Station no,RR4403,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,1.00,0.78,2.06,2.21,0.94,3.74,0.95,1.46,0.84,,
February,4.36,1.22,1.72,0.74,2.89,0.65,1.88,1.28,1.02,0.47,,
March,0.71,2.58,1.22,2.70,1.50,2.67,1.55,1.04,3.27,2.66,,
April,0.78,2.17,1.09,1.86,1.16,2.27,0.48,2.40,2.94,1.27,,
May,1.16,1.63,1.93,2.05,2.01,1.11,1.53,5.07,1.89,1.31,,
June,1.83,1.77,2.55,3.01,0.90,2.66,4.46,2.47,1.21,3.55,,
July,1.82,2.61,1.09,2.63,2.36,1.06,1.18,3.13,2.39,2.80,,
August,3.51,1.79,2.79,3.46,2.20,2.60,0.85,2.20,2.94,1.92,,
September,0.53,1.06,1.41,2.93,1.70,1.84,1.18,0.57,1.79,2.77,,
October,1.38,1.40,1.44,5.44,0.64,0.93,4.39,4.59,1.51,3.01,,
November,2.14,0.79,1.71,1.50,1.07,2.44,3.87,2.51,0.93,0.56,,
December,3.84,3.61,1.18,1.09,1.60,0.84,2.42,3.59,1.67,4.40,,
Total,25.27,21.63,18.91,29.47,20.24,20.01,27.53,29.80,23.02,25.56,,
Calc annual,25.27,21.63,18.91,29.47,20.24,20.01,27.53,29.80,23.02,25.56,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
