MELSETTER HOY HEAD ORKNEY,,,,,,,,,,,,,,,,,,,,
Grid ref,ND 27101 89339,Long,-3.262762,Lat,58.785431,Elevation,55,ft,,,,,,,,,,,,
Station no,RR8701,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,5.1,0.9,3,3.9,5.14,4.24,,1.95,,,,,,,,,
February,,,,2.6,5.45,4.4,4.65,2.7,4.62,,1.5,,,,,,,,,
March,,,,2.7,3.92,3.85,2.5,1.88,3.5,,0.9,,,,,,,,,
April,,,,4,1.1,1.05,0.44,4.12,1.84,,2.76,,,,,,,,,
May,,,,2.5,2.04,1.42,1.25,0.72,1.04,,0.8,,,,,,,,,
June,,,,0.6,1.82,1.2,1.7,2.2,1.55,,0.7,,,,,,,,,
July,,,,1.1,2.1,1.7,0.65,1.45,1.5,,0.15,,,,,,,,,
August,,,,3.1,2.3,2.3,3.5,2.1,6.6,,0.8,,,,,,,,,
September,,,,5.1,3.9,2.4,2.6,5.1,1.1,,3.2,,,,,,,,,
October,,,,2.3,5.76,6.22,2.1,6.16,5.95,,2.4,,,,,,,,,
November,,,,2.9,5.1,3.23,8.3,2.3,1.28,,3.83,,,,,,,,,
December,,,,8.7,4.1,2.06,4.6,5,3.2,,5,,,,,,,,,
Total,,,,40.7,38.49,32.83,36.19,38.87,36.42,,23.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8701,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
