MEALL NAM FIADH,,,,,,,,,,,,
Grid ref,NN712275,Long,-4.089698,Lat,56.422084,,,,,,,
Station no,5544/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.50,3.30,3.30,3.75,4.00,9.95,4.87,3.45,5.93,,
February,,2.50,3.25,3.70,5.60,2.05,8.07,6.13,2.57,9.97,,
March,,3.35,2.30,4.16,5.33,5.45,4.75,1.37,6.20,3.80,,
April,,3.75,3.85,3.12,3.03,1.65,3.15,2.85,5.43,8.05,,
May,2.30,2.60,4.30,5.87,3.25,4.50,2.75,3.25,1.88,4.30,,
June,2.80,3.90,3.55,4.62,2.45,3.61,3.65,2.85,3.28,3.16,,
July,3.90,4.55,5.20,2.10,1.10,3.45,4.25,6.05,7.67,4.71,,
August,8.45,4.25,2.80,5.70,1.25,14.87,6.50,5.05,2.90,4.60,,
September,5.75,2.60,5.75,5.70,4.25,8.53,3.17,8.30,1.27,4.96,,
October,2.60,8.10,8.10,13.75,5.75,4.47,3.00,5.00,7.53,6.48,,
November,12.30,2.80,6.35,9.00,2.35,1.94,6.00,2.23,10.42,8.29,,
December,11.50,4.50,10.65,15.22,14.60,9.00,8.00,15.50,10.38,6.83,,
Total,,47.40,59.40,76.24,52.71,63.52,63.24,63.45,62.98,71.08,,
Calc annual,49.60,47.40,59.40,76.24,52.71,63.52,63.24,63.45,62.98,71.08,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
