MEALL NAM FIADH,,,,,,,,,,
Grid ref,NN712275,Long,-4.089698,Lat,56.422084,Elevation,1850,ft,,
Station no,5544/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.5,3.3,3.3,3.75,4,9.95,,3.45,5.93
February,,2.5,3.25,3.7,5.6,2.05,8.07,,2.57,9.97
March,,3.35,2.3,4.16,5.33,5.45,4.75,,6.2,3.8
April,,3.75,3.85,3.12,3.03,1.65,3.15,,5.43,8.05
May,2.3,2.6,4.3,5.87,3.25,4.5,2.75,,1.88,4.3
June,2.8,3.9,3.55,4.62,2.45,3.61,3.65,,3.28,3.16
July,3.9,4.55,5.2,2.1,1.1,3.45,4.25,,7.67,4.71
August,8.45,4.25,2.8,5.7,1.25,14.87,6.5,,2.9,4.6
September,5.75,2.6,5.75,5.7,4.25,8.53,3.17,,1.27,4.96
October,2.6,8.1,8.1,13.75,5.75,4.47,3,,7.53,6.48
November,12.3,2.8,6.35,9,2.35,1.94,6,,10.42,8.29
December,11.5,4.5,10.65,15.22,14.6,9,8,,10.38,6.83
Total,,47.4,59.4,76.24,52.71,63.52,63.24,,62.98,71.08
,,,,,,,,,,
BR 1952 P () Ja Fe Dec Est G Frozen,,,,,,,,,,
BR 1953 () Fe Mar App,,,,,,,,,,
BR 1958 NP unreliable Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5544/5,,,,,,,,,
Midas,15320,,,,,,,,,
Hyd Stn,880585,,,,,,,,,
