SLAIDBURN WHITENDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD653558,Long,-2.530809,Lat,53.997061,Elevation,830,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.1,0.64,5.91,7.57,9.75,4.07,9.37,4.72,4.36,5.49,11.08,4.5,9.39,3.58,8.11,4.73,6.08,2.17,9.48,9.31,9.65,5.18,9.22,9.49,7.08,6.11,11.38,4.58,7.99,4.66,10.19,3.87,6.74,8.19,8.35,10.42,9.58,6.86,6.9,8.88,7.84,13.08,6.33,13.35,4.72,6.13,9.61,8.03,18.27,2.7,8.57,12.65,10.83,5.77,7.51,5.15,6.59,6.47,9.89,7.38,3.71,1.67,7.57,10.62,12.95,5.63,8.19,6.92,14.5,6.13,7.21,7.97,8.67,4.23,6.77,5.37,5.71,6.36,5.8,4.59,9.35
February,6.11,5.95,6.39,5.84,5.99,6.32,1.92,3.37,2.77,5.34,1.34,2.25,5.13,9.96,11.25,1.49,4.24,6.99,8.24,2.68,5.42,2.98,2.01,8.75,6.71,4.34,5.47,5.17,7.49,8.69,11.67,8.43,2.77,3.28,6.71,9.33,7.06,1.35,9.32,2.03,5.81,0.79,9.04,7.53,1.93,8.92,10.05,4.58,9.09,1.34,0.32,9.46,0.25,7.83,0.48,11.98,3.05,10.54,3.71,7.53,2.74,6.97,2.99,4.58,5.44,9.1,8.3,1.55,4.94,6.21,8.78,5.81,4.13,3.51,5.21,2.75,1.56,4.8,13.28,2.24,7.4
March,5.37,7.16,8.09,1.1,5.35,6.68,5.85,4.33,6.12,8.9,8.77,4.46,1.58,3.71,5.33,8.03,11.28,9.9,4.45,5.46,1.14,5.44,5.18,8.69,4.42,6.09,6.67,7.35,5.25,4.77,1.9,3.92,9.96,8.63,9.76,4.43,3.27,4.27,2.38,8.78,7.19,7.67,4.38,2.45,3.59,3.55,5.1,6.09,5.31,2.02,5.01,0.87,4.58,3.71,3.81,2.44,4.3,3.09,4.19,4.06,7.05,4.1,3.85,1.99,1.08,4.85,1.6,7.62,4.47,3.87,4.51,8.22,4.58,1.83,4.26,2.52,2.32,5.08,2.58,3.67,2.05
April,2.93,3.13,6.91,2.95,1.38,2.69,3.92,3,3.93,3.49,2.48,3.28,2.86,0.93,2.9,4.51,3.81,5.08,5,6.22,5.5,4.19,2.71,4.72,6.64,5.75,2.29,4.37,3.11,5.09,4.69,5.25,2.46,6.8,2.55,4.65,6.71,3.5,1.57,4.07,9.16,3.18,3.69,4.21,2.77,4.18,3.81,6.6,2.06,2.64,2.86,5.81,6.47,3.46,3.16,4.49,1.54,5.01,2.33,4.15,4.56,2.88,3.08,4.06,4.09,4.51,1.98,6.25,3.2,9,5.44,4.15,5.08,4.81,1.87,4.01,2.38,0.56,2.99,3.93,4.06
May,3.57,6.77,3.41,2.04,4.2,2.47,6.84,3.74,2.35,3.79,3.66,3.69,6.86,2.87,3.9,0.73,1.14,4.72,3.36,5.25,2.45,1.17,3.91,4.44,3.68,1.8,8.14,4.64,4.3,3.19,3.58,4.02,3.31,3.98,4.44,2.06,5.29,2.61,2.32,2.83,7.82,3.88,2.55,7.03,7.95,5.5,4.65,2.22,0.91,3.15,2.36,3.18,5.51,2.54,6.07,1.92,1.99,2.61,4.89,1.15,1.83,4.57,5.72,4.44,4.91,4.4,2.17,2.9,2.83,3.11,3.27,2.84,4.07,3.94,4.29,6.91,3.43,2.77,7.02,2.43,2.25
June,7.51,5.23,7.32,4.71,0.9,3.72,3.02,0.42,2.49,1.52,7.3,1.39,5.07,2.9,5.79,2.07,4.51,6.84,5.85,1.74,3.61,2.62,1.42,2.29,2.24,3.42,2.98,11.71,3.61,2.3,3.46,5.43,9.43,3.75,2.05,1.05,3.98,4.22,3.71,2.25,3.2,1.09,5.2,2.55,4.32,0.58,6.1,5.92,10.64,3.21,2.42,9.4,1.95,5.34,3.06,6,4.94,5.93,7.61,5.08,0.71,0.93,1.24,6.35,5.41,7.53,4.47,4.43,9.66,1.3,7.04,1.77,6.05,3.75,5.91,4.24,3.55,2.27,4.27,5.22,3.08
July,7.06,8.32,10.48,5.97,5.69,2.46,8.55,3.92,11.87,4.07,6.5,5.06,3.17,6.22,5.96,8.44,5.68,3.67,1.26,4.41,3.7,2.21,7.48,5.17,4.14,4.39,4.07,4.05,6.42,11.93,7.18,1.12,4.53,1.78,4.8,5.47,4.92,2.47,5.33,2.9,8.92,2.91,7.6,7.84,6.94,3.51,5.7,6.26,6.82,5.76,5.48,7.5,7.06,7.16,4.56,4.6,7.34,3.45,7.11,9.93,8.26,2.73,8.38,6.08,4.88,4.28,7.03,5.98,4,4.94,6.84,6.42,5.31,10.04,12.08,1.77,6.36,7.5,4.69,6.27,12.2
August,3.11,9.18,6.01,6.89,2.25,3.35,3.43,3,7.06,10.39,8.26,16.92,9.51,6.52,10.54,8.19,4.67,9.52,8.67,2.12,7.1,7.88,4.28,10.69,5.89,6.65,7.09,8.71,6.3,5.78,10.6,4.72,8.15,3.03,3.75,6.13,5.78,11.73,6.37,6.75,4.09,8.17,7.42,8.84,10.38,5.71,5.51,8.67,8.53,9.93,10.59,6.4,2.85,4.74,8.38,3.54,4.42,3.26,5.87,2.72,4.95,10.07,7.84,11.77,4.43,4.83,12.56,0.1,6.59,4.51,12.92,5.78,10.35,7.74,9.51,1,15.87,7.3,6.8,1.12,6.28
September,5.52,2.69,3.98,9.34,5.2,8.5,6.33,7.32,4.68,7.99,8.6,8.64,8.3,10.11,0.8,2.22,11.17,7.37,4.32,10.22,4.77,3.1,2.84,8.91,1.83,6.88,2.94,1.31,8.92,4.62,1.26,5.34,3.1,3.21,5.11,1.04,5.96,6.38,14.48,5.17,3.94,2.8,7.61,9.86,8.13,5.92,7.23,10.61,2.34,4.05,4.71,3.42,11.57,1.82,6.36,11.3,7.66,3.52,3.36,2.96,10.59,2.47,7.33,7.64,10.62,6.52,9.88,6.11,8.27,3.75,12.58,5.71,9.15,8.68,10.58,4.86,4.93,11.76,6.58,0.67,4.5
October,2.34,4.17,5.23,9.3,6.86,7.85,6.84,4.79,4.21,7.75,8.93,6.8,8.61,12.2,7.9,8.83,5.75,3.72,6.95,5.04,11.07,6.8,7.25,14.81,5.35,6.9,11.74,6.63,3.32,9.86,5.11,7.01,6.19,3.12,3,2.15,16.1,10.55,7.79,3.44,1.51,5.32,2.16,11.83,7.67,9.47,5.16,7.34,9.47,11.01,12.86,4.54,11.26,7.25,14.11,16.57,8.66,2.72,18.21,3.26,6.29,9.4,12.79,5.21,8.45,8.59,1.27,1.3,7.28,8.77,5.34,2.93,6.28,2.47,14.51,4.85,4.51,8.2,6.16,7.75,5.05
