"TORQUAY (HIGHER LINCOMBE RD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1716,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,4.00,7.95,2.49,2.57,,4.26,6.09,0.63,1.14,,
February,,0.27,1.72,0.24,2.18,,2.41,1.31,1.46,6.41,,
March,,3.46,1.30,0.11,1.12,,11.02,1.48,1.09,1.73,,
April,,1.95,0.89,2.09,0.96,,2.89,2.26,1.40,1.53,,
May,,6.11,3.76,0.56,3.97,,2.32,2.47,2.32,4.30,,
June,,0.50,1.14,1.64,2.84,,2.81,1.84,0.73,0.57,,
July,,1.39,2.45,3.03,1.63,,1.35,0.65,1.30,4.38,,
August,,3.89,2.48,3.55,2.77,2.97,1.04,2.42,1.13,3.62,,
September,,2.35,3.34,1.17,,5.17,1.61,1.31,3.00,4.13,,
October,,4.15,3.74,4.05,,2.01,0.81,2.74,6.97,1.59,,
November,,0.84,1.83,6.46,,6.47,2.41,1.53,4.66,6.28,,
December,,4.77,3.22,2.55,,4.29,2.39,6.52,1.42,3.05,,
Total,,33.68,33.82,27.94,,,35.32,30.62,26.11,38.73,,
Calc annual,0.00,33.68,33.82,27.94,18.04,20.91,35.32,30.62,26.11,38.73,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,,
