DALNASPIDAL (LUIDHEARNAIDH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN622730,Long,-4.259772,Lat,56.827989,Elevation,1710,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5564/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.8,5.55,11.3,13.46,7.25,0.8,1.25,4.1,7.2,10.4,3.3,8.4,5.8,7.7,9.3,5.9,11.5,4.9,4.8,4.5,3.4,6.65,10.2,6.8,4.4,
February,,,,,10.4,1.55,5.75,8.2,6.5,3.2,5.1,1.6,7.4,3.4,12.3,6.5,0.1,6.2,7.3,11.15,1.9,2.25,5.2,4.9,2.9,4.8,6.7,3.5,3.4,
March,,,,,3.7,4.95,1.72,7.15,5,4.7,3.1,3.5,4.8,2.2,7.4,4.6,2.3,6.4,2.8,4.05,7.3,6.15,0.7,4.7,1.1,2.4,6.3,0.7,5.55,
April,,,,,4.5,4.2,2.5,0.96,3.45,4.1,2.7,3.2,7.6,5.5,1.8,2.1,17.8,3.4,5.75,7.45,6.05,3.45,2.7,2.1,2.75,3.9,2.55,3.3,4.65,
May,,,,,0.7,1.3,4.07,4.2,1.45,1.25,3.1,4,3.7,2.4,5.3,1.5,4.6,3.9,3.65,3.55,1.85,3.7,6.7,5.9,3.6,5.7,2.4,5.3,1.55,
June,,,,,5.6,3.25,2.62,6.85,2.8,1,0.75,2.5,5.5,6.7,4,5.3,4.8,4.93,1.9,2.55,3.9,4.55,4.05,4.1,1.65,4.35,1.2,3.1,4.15,
July,,,,,1.35,6.5,5.3,5.7,6.75,5.6,3.3,3.7,3.3,2.7,3.2,6.4,6.3,4.1,1.6,6.65,3.7,0.95,6.7,3.85,1,4.9,6.7,3,6.35,
August,,,,,4.3,3.65,4.28,2.9,2.45,2.05,5.3,5.9,5.8,4.3,0.9,3.3,0,7.7,4.4,7.9,7.1,6.05,3.65,4.1,1.5,6.9,6.8,8.6,4.5,
September,,,,,10.55,4.45,5.67,6,2.8,3.7,2.7,8.7,5.2,5.8,8.1,9.3,6.8,6.2,2.38,11.9,3.8,3.65,5.65,5.3,3.7,7.8,4.2,6.8,1.45,
October,,,,,15.2,9.5,3.15,12.8,7.05,8.1,7.4,7.3,13.5,9.4,5.2,0.9,5.4,7.3,6.5,8.3,1.85,10,4.1,14.5,6.4,6.9,7.2,8.65,6.95,
November,,,,,7.15,5.05,2.3,11.1,10.45,10.6,8.3,3.1,5.1,6.4,1.8,7.9,8.4,4.45,6.9,5.45,11.15,4.7,11.3,12.4,3.05,6.1,3,1.3,8.62,
December,,,,,2.7,12.75,2.45,9.7,4.45,6.3,8.5,10.7,3.5,8.8,9.2,5.8,2.9,9.75,14.35,3.1,8.85,5.6,8.8,13.2,12.1,13.8,11,5.8,11.93,
Total,,,,,70.95,62.7,51.11,89.02,60.4,51.4,51.5,58.3,72.6,68,62.5,62,65.2,72.03,66.83,77.95,68.95,55.95,64.35,79.55,43.15,74.2,68.25,56.85,63.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total for 1939 fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
