DRUMMORE (MUSSELBURGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT367731,Long,-3.01512,Lat,55.946752,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,0.47,1.54,1.8,0.56,0.81,0.62,2.91,2.66,1.84,0.73,3.44,2.39,0.86,2.31,0.77,2.21,2.07,2.25,0.71,1.21,1.72,1.76,1.27,2.24,2.39,,
February,,,,2.52,4.98,0.58,0.73,0.96,0.6,1.12,3.18,1.21,0.9,3.87,2.28,0.98,0.62,0.98,0.95,1.28,2.56,1.65,1.58,0.83,1.41,1.67,3.22,0.58,,
March,,,,0.6,1.12,2.32,1.15,2.47,1.1,1.53,1.19,1.37,0.77,2.68,1.11,2.09,1.69,1.87,2.69,4.43,0.7,1.89,1.51,2.48,2.47,1.19,2.88,0.98,,
April,,,,1.43,1.63,1.07,1.04,0.84,2.04,2.28,1.18,1.3,0.87,0.84,1.26,2.22,0.85,1.5,1.49,1.87,3.12,1.09,0.2,1.12,0.95,0.9,2.16,1.12,,
May,,,,1.39,2.84,0.77,0.44,1.04,1.56,3.16,0.87,2.02,2.01,0.78,2.91,0.68,4.95,2.59,2.1,2.13,1.42,0.85,1.39,2.19,2.01,1.03,3.3,2.16,,
June,,,,2.14,2.13,1.59,2.27,3.38,1.24,1.29,3.14,1.47,2.37,1.67,2.11,1.3,1.33,2.58,0.68,1.25,0.82,2.34,4.95,1.42,3.07,1.43,2.71,1.85,,
July,,,,1.89,2.29,3.88,3.86,2.16,1.14,4.23,3.11,0.8,2.29,3.46,1.38,1.93,1.43,3.39,2.94,2.82,3.54,1.02,1.63,0.52,2.09,3.3,5.45,1.42,,
August,,,,2.58,3.86,3.52,1.74,3.69,3.06,0.73,4.52,3.45,1.49,2.78,4.65,2.06,5.27,3.06,1.29,1.76,3.8,1.05,4.82,1.71,1.7,4.83,4.09,5.07,,
September,,,,1.27,0.48,0.46,4.09,1.9,1.71,3.28,1.53,0.87,1.25,1.8,1.98,1.64,0.65,1.92,2.16,2.71,0.62,1.05,2.56,2.11,0.9,2.26,1.36,1.37,,
October,,,,2.14,2.28,2.91,3.65,0.87,4.38,1.31,4.12,1.42,1.18,5.2,0.66,2.45,6.43,6.45,1.24,3.49,2.6,2.88,2.83,1.86,1.32,1.49,3.63,2.46,,
November,,,,1.43,1.11,1.89,0.54,1.44,3.35,2,3.99,2.87,0.63,1.49,0.95,3.39,3.1,1.54,1.39,0.41,2.76,3.82,1.34,1.46,2.37,0.98,3,1.57,,
December,,,,2.07,1.57,2.09,3.13,1.91,1.32,2.25,3.49,3.31,1.69,0.76,1.85,0.88,1.2,3.59,0.21,2.7,0.92,2.11,2.13,1.67,3.6,3.86,2.69,1.62,,
Total,,,,19.93,25.83,22.88,23.2,21.47,22.12,26.09,32.98,21.93,16.18,28.77,23.53,20.48,29.83,30.24,19.35,26.92,25.11,20.46,26.15,19.09,23.65,24.21,36.73,22.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
