"DRUMMORE (MUSSELBURGH)",,,,,,,,,,,,
Grid ref,NT367731,Long,-3.015120,Lat,55.946752,,,,,,,
Station no,RR2698,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.66,1.84,0.73,3.44,2.39,0.86,2.31,0.77,2.21,2.07,,
February,3.18,1.21,0.90,3.87,2.28,0.98,0.62,0.98,0.95,1.28,,
March,1.19,1.37,0.77,2.68,1.11,2.09,1.69,1.87,2.69,4.43,,
April,1.18,1.30,0.87,0.84,1.26,2.22,0.85,1.50,1.49,1.87,,
May,0.87,2.02,2.01,0.78,2.91,0.68,4.95,2.59,2.10,2.13,,
June,3.14,1.47,2.37,1.67,2.11,1.30,1.33,2.58,0.68,1.25,,
July,3.11,0.80,2.29,3.46,1.38,1.93,1.43,3.39,2.94,2.82,,
August,4.52,3.45,1.49,2.78,4.65,2.06,5.27,3.06,1.29,1.76,,
September,1.53,0.87,1.25,1.80,1.98,1.64,0.65,1.92,2.16,2.71,,
October,4.12,1.42,1.18,5.20,0.66,2.45,6.43,6.45,1.24,3.49,,
November,3.99,2.87,0.63,1.49,0.95,3.39,3.10,1.54,1.39,0.41,,
December,3.49,3.31,1.69,0.76,1.85,0.88,1.20,3.59,0.21,2.70,,
Total,32.98,21.93,16.18,28.77,23.53,20.48,29.83,30.24,19.35,26.92,,
Calc annual,32.98,21.93,16.18,28.77,23.53,20.48,29.83,30.24,19.35,26.92,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
