SCAFELL PIKES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY215071,Long,-3.212,Lat,54.4539,Elevation,3200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,-999,,-999,6.3,,,,,,,,,,,,,,6.31,,-999,7.65,6.2,7.87,,,9.9,,8.33,5.5,,,-999,,2.3,0.3,11,8,,,,,,
February,,,,,,,,-999,,-999,10.5,,,,,,,,,,,,,,-999,,-999,3.2,7.56,-999,,,4.6,,,,,,-999,,9.1,-999,12.2,16.2,,,,,,
March,,,,,,,6.51,-999,,-999,-999,,1.11,,,,,,,,,,,,-999,,-999,,9.6,-999,,,6.41,,,,,,-999,,,-999,13,3,,,,,,
April,,,,,,,4.39,-999,,1.48,-999,,18.68,6.05,,,,,,,,,,,-999,8.51,-999,7.37,6.65,-999,,4.93,5.5,,,,,,-999,,,2,11,,,,,,,
May,,,,,,,2.4,6.16,4.42,4.42,5.48,16.89,6.63,7.75,,,,,,,,,,,2.36,8.22,5.18,3.55,3.16,2.51,,,2.82,,,4.35,5.1,3.8,5.3,2.65,,10.85,9.1,,,,,,,
June,,,,,,,5,5.05,8.58,2.75,6,6.83,8.2,3.44,,,,,,,,,,,9.22,0,4.2,3.84,2.25,2.09,,,7.23,,1.05,6.65,3,3.7,3.7,5,12.2,8.95,13,,,,,,,
July,,,,,,,14.38,3.25,10.65,11.99,9.56,11.3,5.68,15.88,,,,,,,,,,,2.57,5.5,6.62,6.2,2.31,4.05,,,6.27,,6.14,,4.39,7.2,2.16,7,12.3,9,21.1,,,,,,,
August,,,,,,,7.05,8.39,9.74,8.98,11.16,10.8,8.98,7.2,,,,,,,,,,,5.9,9.41,8.21,8.3,10.14,4.05,,,8.95,,,5.43,4.4,5.3,8,3,4.3,18.2,9.3,,,,,,,
September,,,,,,,3.22,8.75,5.11,4.54,3.53,4.72,4,5.19,,,,,,,,,,,12.81,2.42,9.65,7.62,3.66,10.88,,,15.62,,,4.8,8.9,4,6.1,8.75,12.1,9,11.2,,,,,,,
October,,,,,,,13.4,12.38,10.96,14,-999,9.11,8.02,6.61,,,,,,,,,,,6.22,1.87,4.44,4.38,5.59,7.1,,,12.8,7.1,,,,8.29,-999,3.2,2.1,7.2,7.2,,,,,,,
