MICKLEHAM-NORBURY-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ159536,Long,-0.340017,Lat,51.269776,Elevation,400,ft.,,,,,,,,,,,,
Station no,RR8230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.6,1.61,1.17,3.15,4.92,1.3,5.23,1.23,1.52,1.07,2.28,0.77,3.23,4.43,0.68,5.48,1.19,,,
February,3.24,1.52,1.84,2.14,3.33,0.85,2.37,1.84,1.33,0.43,4.09,1.58,2.45,1,4.97,5.87,3.21,,,
March,0.89,3.26,2.08,4.06,1.48,4.1,1.61,0.91,3.55,4.57,1.71,2.85,4.82,3.3,4.75,0.75,6.6,,,
April,0.95,2.52,1.14,2.16,1.52,1.7,0.41,4.04,2.86,2.45,1.92,1.51,0,2.93,1.11,1.44,1.18,,,
May,1.19,0.43,2.06,3.79,2.34,0.8,0.73,2.67,2.67,1.88,2.59,1.63,1.21,1.91,1.71,3.1,2.19,,,
June,2.58,1.06,3.81,7.03,0.84,5.31,2.46,1.93,2.36,4.08,2.01,2.21,3.72,0.72,0.67,0.84,2.11,,,
July,1.41,3.03,1.32,6.45,0.94,0.94,0.37,2.17,3.04,4.32,3.44,0.67,1.38,3.47,1.67,4.51,1.47,,,
August,2.88,1.63,1.98,6.61,1.84,2.73,0.54,2.27,3.66,2.54,2.96,0.61,6.62,1.64,1.51,2.4,3.51,,,
September,0.89,2.68,1.3,3.89,1.51,2.31,1.82,0.65,1.68,4.98,1.16,1.13,3.87,2.03,1.06,2.27,1.28,,,
October,2.1,2.87,2.36,7.65,2.22,1.75,3.87,5.9,2.75,5.98,3.61,4.09,3.05,4.41,1.72,2.69,5.4,,,
November,2.54,0.54,3.38,3,1.38,3.64,4.78,3.08,1.11,0.96,3.96,5.07,2.33,3.23,4,2.46,6.27,,,
December,3.32,5.83,1.7,2.65,2.66,0.87,1.85,3.92,3.08,4.73,6.06,7.95,3.57,1.43,9.39,6.31,3.39,,,
Total,25.59,26.98,24.14,52.58,24.98,26.3,26.04,30.61,29.61,37.99,35.79,30.07,36.25,30.5,33.24,38.12,37.8,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Norbury Park. Stated altitude is 100 ft too high but is noted as being approximate, OS figure used",,,,,,,,,,,,,,,,,,,,
