DIDCOT-UPTON-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU515868,Long,-1.2582085,Lat,51.577719,Elevation,240,ft.,,,,,,,,,,,,
Station no,811,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.74,3.34,0.48,3.92,0.71,1.59,0.64,2.11,1.05,3.84,3.33,,,,,,
February,,,,1.26,3.16,0.52,1.81,1.13,0.86,0.58,3.33,1.71,2.17,0.98,,,,,,
March,,,,3.57,1.28,3.64,1.27,1.03,3.25,2.83,0.83,1.89,3.96,2.44,,,,,,
April,,,1.55,2.26,1.12,2.05,0.46,2.49,3.74,1.68,2.69,1.01,0.04,3.91,,,,,,
May,,,2.28,4.32,3.15,0.79,1.79,2.51,1.55,1.57,1.69,2.85,1.65,2.17,,,,,,
June,,,2.46,6.42,1.16,4.38,2.71,2.23,1.25,4.11,4.33,1.56,3.25,0.43,,,,,,
July,,,0.9,2.78,2.47,1.19,1.05,3.3,2.31,1.76,1.75,0.06,1.91,1.97,,,,,,
August,,,2.56,3.24,2.19,2.6,0.81,1.83,3.07,2.65,2.81,1.15,3.95,1.37,,,,,,
September,,,1.26,2.1,1.24,1.38,0.7,0.58,2.22,3.31,0.31,1.13,1.64,2.1,,,,,,
October,,,1.45,7.16,1.1,1.65,4.15,5.82,1.02,3.49,3.82,1.83,2.93,4.26,,,,,,
November,,,2.99,1.82,1.52,3.38,3.53,2.31,1.11,0.72,3.54,2.87,1.94,2.36,,,,,,
December,,,1.5,1.73,2.38,0.99,1.96,4.46,2.37,3.32,4.53,5.74,3.24,1.01,,,,,,
Total,,,,39.4,24.11,23.05,24.16,28.4,24.34,26.66,31.74,22.85,30.52,26.33,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is Manor House. 2 Gauges  overlap  for 1912 and 1913,,,,,,,,,,,,,,,,,,,,
"The gauges ovelap for two years and 2 monthly readings are duplicated, probably coincidental",,,,,,,,,,,,,,,,,,,,
