GELLI-GALED-REC-GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS9905194733,Long,-3.4602681,Lat,51.642307,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4077/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,12.74,5.82,5.23,9.25,14.78,10.79,5.92,14.15,7.64,20.23,2.77,3.09,,,,,,,,7.25,10.07,8.98
February,,,,,,,,,7.42,8.78,8.12,0.68,6.03,2.11,11.26,9.96,2.55,5.46,4.45,13.77,,,,,,,,9.16,0.5,6.69
March,,,,,,,,,3.59,6.84,5.11,6.33,1.89,0.48,5.01,3.42,13.36,4.68,2.62,6.11,,,,,,,9.27,1.48,6.61,2.77
April,,,,,,,,0.4,6.67,5.55,2.22,3.8,2.04,5.62,4.85,1.98,7.26,3.86,6.16,4.96,,,,,,,0.43,1.93,5.55,4.58
May,,,,,,,,8.89,1.33,2.23,4.59,10.31,8.52,3.8,5.27,4.88,3.25,5.23,6.28,2.43,,,,,,,3.29,6.62,1.73,2.07
June,,,,,,,,4.98,4.98,0.83,1.56,0.25,7.03,5.02,8.94,8.5,3.73,8.52,1.06,2.56,,,,,,,1.52,4.76,3.12,4.39
July,,,,,,,,6.8,19.32,7.03,3.74,6.12,6.44,5.17,5.04,4.75,4.65,3.61,1.54,10.29,,,,,,,7.9,6.9,6.17,9.56
August,,,,,,,,6.09,4.5,0.7,10.15,7.85,7.54,6.12,4.39,12.41,0.48,9.58,4.55,14.05,,,,,,,6.69,7.5,2.26,8.11
September,,,,,,,,3.64,1.23,3.67,1.11,7.77,7,8.82,6.88,13.37,3.76,8.56,3.49,12.7,,,,,,,12.62,12.37,0.6,6.46
October,,,,,,,,15.29,5.1,12.14,8.73,7.51,6.57,11.92,8.76,1.45,2.65,7.71,14.51,4.21,,,,,,,8.88,9.19,7.78,8.56
November,,,,,,,,14.51,18.62,18.24,5.61,1.32,4.98,15.79,1.31,17.72,10.64,4.25,7.68,10.09,,,,,,,3.17,3.58,10.46,17.48
December,,,,,,,,8.22,5.37,6.84,8.6,11.12,4.86,7.47,12.76,9.14,8.53,12.68,10.33,4.32,,,,,,,5.18,6.91,15.76,10.9
Total,,,,,,,,,90.87,78.67,64.77,72.31,77.68,83.11,80.39,101.73,68.5,94.37,65.44,88.58,,,,,,,,77.65,70.61,90.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
