"BUCKNALL",,,,,,,,,,,,
Grid ref,TF172687,Long,-0.246836,Lat,53.202464,,,,,,,
Station no,RR4255,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.76,1.07,0.89,,
February,,,,,,,,1.77,1.09,0.48,,
March,,,,,,,,1.20,1.66,3.15,,
April,,,,,,,,1.54,1.99,1.69,,
May,,,,,,,,3.39,1.13,0.66,,
June,,,,,,,,1.87,1.50,2.86,,
July,,,,,,,,1.44,3.06,4.13,,
August,,,,,,,,1.67,1.81,3.26,,
September,,,,,,,,0.54,2.04,1.38,,
October,,,,,,,,3.77,0.93,2.63,,
November,,,,,,,,1.97,0.94,0.41,,
December,,,,,,,,1.97,1.64,4.12,,
Total,,,,,,,,21.89,18.86,25.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.89,18.86,25.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
